Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Quaint Two Bedroom Flat with Office,N/A,"{'latitude': 38.57909393310547, 'longitude': -90.28026580810547}",N/A,https://livelofty.holidayfuture.com/listings/221647?googleVR=1,N/A,14,N/A
Family-Friendly St Louis Home < 6 Mi to Dtwn!,N/A,"{'latitude': 38.58281707763672, 'longitude': -90.25920104980469}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3280980&lc=google,N/A,1,N/A
☆Spacious & Comfy☆Near Downtown☆Close to Zoo,N/A,"{'latitude': 38.58734130859375, 'longitude': -90.2778549194336}",N/A,https://huestaydirect.hospitable.rentals/property/spacious-comfynear-downtownclose-to-zoo,N/A,22,N/A
Family-Friendly St Louis Home Less Than 6 Mi to Dtwn!,N/A,"{'latitude': 38.582820892333984, 'longitude': -90.25920104980469}",N/A,N/A,N/A,2,N/A
☆Spacious & Comfy☆Close to Zoo☆Near Downtown,N/A,"{'latitude': 38.58739471435547, 'longitude': -90.27789306640625}",N/A,https://huestaydirect.hospitable.rentals/property/spacious-comfyclose-to-zoonear-downtown,N/A,50,N/A
Pretty Blue Bungalow - Three-Bedroom House,N/A,"{'latitude': 38.56968688964844, 'longitude': -90.25218200683594}",N/A,N/A,N/A,4,N/A
"NEW Charming Apartment Great for Traveling Nurses, Corporate & Short-Term Rental",N/A,"{'latitude': 38.54054260253906, 'longitude': -90.29042053222656}",N/A,N/A,N/A,N/A,N/A
Charming Apartment Great For Traveling Nurses,N/A,"{'latitude': 38.5401496887207, 'longitude': -90.2895278930664}",N/A,N/A,N/A,N/A,N/A
Peace & Quiet In STL *Free Parking*,N/A,"{'latitude': 38.570823669433594, 'longitude': -90.29707336425781}",N/A,https://www.dzkzgroup.com/listings/292022?googleVR=1,N/A,38,N/A
Lovely 1-bedroom rental unit with patio,N/A,"{'latitude': 38.58340072631836, 'longitude': -90.27860260009766}",N/A,N/A,N/A,16,N/A
Impeccable 1-Bedroom Apartment with Street Parking,N/A,"{'latitude': 38.58869171142578, 'longitude': -90.3099594116211}",N/A,https://www.bluepillow.com/search?p_id=589dfe227c00cb10c8dad7f6&dest=bpvr&cat=Apartment&accomodationids=63975916b05b4aeb869be0d1,N/A,N/A,N/A
Two blocks front Grants Farm! Pets allowed fenced.,N/A,"{'latitude': 38.5390510559082, 'longitude': -90.36194610595703}",N/A,N/A,N/A,N/A,N/A
"Cozy 1-bedroom apartment in lovely St. Louis with WiFi, AC",N/A,"{'latitude': 38.570350646972656, 'longitude': -90.27570343017578}",N/A,N/A,N/A,N/A,N/A
9 Mi to Dtwn: Vibrant St Louis Home!,N/A,"{'latitude': 38.54460525512695, 'longitude': -90.26730346679688}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3286426&lc=google,N/A,N/A,N/A
Spacious | Quiet | 1 bedroom duplex w free parking!,N/A,"{'latitude': 38.58062744140625, 'longitude': -90.30964660644531}",N/A,N/A,N/A,27,N/A
Renovated & Fully Equipped 2 BR Apt - Hidden Gem!,N/A,"{'latitude': 38.539852142333984, 'longitude': -90.29267120361328}",N/A,N/A,N/A,N/A,N/A
The Farmhouse,N/A,"{'latitude': 38.542198181152344, 'longitude': -90.3630599975586}",N/A,https://jandjdesignteam.hospitable.rentals/property/the-farmhouse,N/A,4,N/A
Newly updated apartment on a quiet street,N/A,"{'latitude': 38.58903121948242, 'longitude': -90.2808609008789}",N/A,https://www.bluepillow.com/search?p_id=589dfe227c00cb10c8dad7f6&dest=bpvr&cat=Apartment&accomodationids=6490708fba24250813c3636f,N/A,N/A,N/A
