Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Comfy Stay Getaway,N/A,"{'latitude': 38.71908187866211, 'longitude': -90.29393005371094}",N/A,https://www.bluepillow.com/search?p_id=589dfe277c00cb10c8dad84a&dest=bpex&cat=House&accomodationids=65cb28b63e6d928972f2df3a,N/A,N/A,N/A
"The River Stables in St. Charles, MO",N/A,"{'latitude': 38.8304328918457, 'longitude': -90.40824890136719}",N/A,N/A,N/A,9,N/A
Quiet getaway in suburban northwest.,N/A,"{'latitude': 38.78190612792969, 'longitude': -90.3968276977539}",N/A,https://www.us.despegar.com/hotels/h-6219825,N/A,N/A,N/A
Adorable 2 Bedroom Home,N/A,"{'latitude': 38.796749114990234, 'longitude': -90.478271484375}",N/A,N/A,N/A,46,N/A
The Entire Historic Hotel- 8 suites and Courtyard,N/A,"{'latitude': 38.793121337890625, 'longitude': -90.47705841064453}",N/A,https://leveloinn.lodgify.com/listing/en/657929,N/A,N/A,N/A
"Duplex Hideaway in St. Charles, MO",N/A,"{'latitude': 38.77286911010742, 'longitude': -90.48589324951172}",N/A,N/A,N/A,38,N/A
Beautiful 2-bedroom house in awesome Ferguson .Mo with WiFi,N/A,"{'latitude': 38.74283218383789, 'longitude': -90.28961944580078}",N/A,https://www.vrbo.com/4173508?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Main Street Balcony Apartment!,N/A,"{'latitude': 38.783538818359375, 'longitude': -90.47982025146484}",N/A,N/A,N/A,128,N/A
Home near Airport and Highway!,N/A,"{'latitude': 38.770599365234375, 'longitude': -90.33242797851562}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bpvr&cat=House&accomodationids=64906e8aba24250813c1717a,N/A,N/A,N/A
Family-Friendly 2BR Cottage Near Creve Coeur Lake,N/A,"{'latitude': 38.72603988647461, 'longitude': -90.42711639404297}",N/A,N/A,N/A,1,N/A
"#7 The Hub. Eclectic, 1 bed 1 ba perfect getaway",N/A,"{'latitude': 38.79311752319336, 'longitude': -90.47720336914062}",N/A,https://leveloinn.lodgify.com/listing/en/657265,N/A,N/A,N/A
Lavish Stay,N/A,"{'latitude': 38.78620910644531, 'longitude': -90.3072280883789}",N/A,https://www.us.despegar.com/hotels/h-6043061,N/A,N/A,N/A
"1870's Luxury Guest Cottage, Historic Downtown St. Charles, Mo.",N/A,"{'latitude': 38.77743148803711, 'longitude': -90.4861068725586}",N/A,N/A,N/A,245,N/A
Pet-Friendly Home - 3 Mi to St Louis Airport,N/A,"{'latitude': 38.72795104980469, 'longitude': -90.39627075195312}",N/A,N/A,N/A,N/A,N/A
5 minutes STL Airport! Family-sized town home with full kitchen,N/A,"{'latitude': 38.737022399902344, 'longitude': -90.37430572509766}",N/A,https://www.vrbo.com/3007140?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Historic 2 bedroom house St Charles,N/A,"{'latitude': 38.789791107177734, 'longitude': -90.48081970214844}",N/A,https://www.bluepillow.com/search?p_id=589dfe2a7c00cb10c8dad87d&dest=bkng&cat=House&accomodationids=654caddd3011da1e8b77b25c,N/A,N/A,N/A
Charming 3-bedroom house in St. Louis,N/A,"{'latitude': 38.761756896972656, 'longitude': -90.32275390625}",N/A,https://www.us.despegar.com/hotels/h-6332191,N/A,N/A,N/A
Relaxing South Main Apartment with Modern Comforts,N/A,"{'latitude': 38.77833557128906, 'longitude': -90.4830322265625}",N/A,https://whimstay.com/detail/Relaxing-South-Main-Apartment-with-Modern-Comforts/334167?isgoogle=true,N/A,N/A,N/A
