Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Budget Inn,,"{'latitude': 37.6219171, 'longitude': -120.98646099999998}",37.6219171,-120.98646099999998,1,,"[{'stars': 5, 'count': 29}, {'stars': 4, 'count': 9}, {'stars': 3, 'count': 12}, {'stars': 2, 'count': 24}, {'stars': 1, 'count': 28}]",102,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 6, 'positive': 4, 'negative': 2, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 10, 'positive': 6, 'negative': 3, 'neutral': 1}]","589, South 9th Street, Bystrom, Stanislaus County, California, 95351, United States"
Extended Stay America Select Suites - St Louis - Westport - East Lackland Rd.,Informal quarters with kitchens in a low-key all-suite hotel offering free Wi-Fi & breakfast.,"{'latitude': 38.6993957, 'longitude': -90.435451}",38.6993957,-90.435451,2,https://www.extendedstayamerica.com/hotels/mo/st-louis/westport-east-lackland-rd?channel=gmb-listing&utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,"[{'stars': 5, 'count': 331}, {'stars': 4, 'count': 134}, {'stars': 3, 'count': 110}, {'stars': 2, 'count': 74}, {'stars': 1, 'count': 203}]",852,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 21, 'positive': 8, 'negative': 9, 'neutral': 4}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 41, 'positive': 13, 'negative': 26, 'neutral': 2}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 15, 'positive': 6, 'negative': 9, 'neutral': 0}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 16, 'positive': 3, 'negative': 11, 'neutral': 2}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 13, 'positive': 2, 'negative': 11, 'neutral': 0}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 14, 'positive': 1, 'negative': 9, 'neutral': 4}]","Extended Stay America, 11827, Lackland Road, Maryland Heights, Saint Louis County, Missouri, 63146, United States"
Red Roof Inn St Louis - Westport,"Simple rooms in an unassuming hotel offering free Wi-Fi & parking, plus laundry facilities.","{'latitude': 38.699550800000004, 'longitude': -90.4364172}",38.6995508,-90.4364172,2,https://www.redroof.com/property/mo/saint-louis/RRI126?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI126,"[{'stars': 5, 'count': 255}, {'stars': 4, 'count': 163}, {'stars': 3, 'count': 182}, {'stars': 2, 'count': 131}, {'stars': 1, 'count': 401}]",1132,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 34, 'positive': 9, 'negative': 20, 'neutral': 5}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 7, 'positive': 0, 'negative': 7, 'neutral': 0}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 36, 'positive': 6, 'negative': 26, 'neutral': 4}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 28, 'positive': 1, 'negative': 23, 'neutral': 4}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 19, 'positive': 4, 'negative': 12, 'neutral': 3}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 11, 'positive': 4, 'negative': 7, 'neutral': 0}]","Red Roof Inn, 11837, Lackland Road, Maryland Heights, Saint Louis County, Missouri, 63146, United States"
Red Roof Inn St Louis - Florissant,Low-key rooms with cable TV in an unpretentious budget hotel offering free parking & Wi-Fi.,"{'latitude': 38.775962199999995, 'longitude': -90.3318717}",38.7759622,-90.3318717,2,https://www.redroof.com/property/mo/Florissant/RRI024?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI024,"[{'stars': 5, 'count': 97}, {'stars': 4, 'count': 55}, {'stars': 3, 'count': 69}, {'stars': 2, 'count': 42}, {'stars': 1, 'count': 165}]",428,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 8, 'positive': 5, 'negative': 3, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 109, 'positive': 18, 'negative': 87, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 72, 'positive': 5, 'negative': 61, 'neutral': 6}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 106, 'positive': 18, 'negative': 81, 'neutral': 7}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 54, 'positive': 3, 'negative': 50, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 56, 'positive': 14, 'negative': 38, 'neutral': 4}]","Red Roof Inn, Dunn Road, Florissant, Saint Louis County, Missouri, 63031, United States"
Red Roof Inn Bridgeton,"Low-key rooms in a down-to-earth budget hotel offering free Wi-Fi, coffee & tea, plus parking.","{'latitude': 38.7589465, 'longitude': -90.4378682}",38.7589465,-90.4378682,2,https://www.redroof.com/property/mo/Bridgeton/RRI1017?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI1017,"[{'stars': 5, 'count': 111}, {'stars': 4, 'count': 61}, {'stars': 3, 'count': 68}, {'stars': 2, 'count': 47}, {'stars': 1, 'count': 160}]",447,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 9, 'positive': 6, 'negative': 3, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 135, 'positive': 34, 'negative': 98, 'neutral': 3}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 121, 'positive': 38, 'negative': 77, 'neutral': 6}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 10, 'positive': 0, 'negative': 10, 'neutral': 0}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 13, 'positive': 0, 'negative': 12, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 87, 'positive': 7, 'negative': 75, 'neutral': 5}]","3470, Hollenberg Drive, Natural Bridge Junction, Bridgeton, Saint Louis County, Missouri, 63044, United States"
"Candlewood Suites St. Louis - St. Charles, an IHG Hotel",,"{'latitude': 38.7783084, 'longitude': -90.5274364}",38.7783084,-90.5274364,2,https://www.ihg.com/candlewood/hotels/us/en/st-charles/stlom/hoteldetail?cm_mmc=GoogleMaps-_-CW-_-US-_-STLOM,"[{'stars': 5, 'count': 24}, {'stars': 4, 'count': 17}, {'stars': 3, 'count': 12}, {'stars': 2, 'count': 11}, {'stars': 1, 'count': 38}]",102,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 37, 'positive': 6, 'negative': 29, 'neutral': 2}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 18, 'positive': 4, 'negative': 12, 'neutral': 2}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 38, 'positive': 11, 'negative': 23, 'neutral': 4}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 47, 'positive': 12, 'negative': 28, 'neutral': 7}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 18, 'positive': 1, 'negative': 16, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 17, 'positive': 2, 'negative': 14, 'neutral': 1}]","Candlewood Suites St. Louis - St. Charles, 1800, Zumbehl Road, Saint Charles, Saint Charles County, Missouri, 63303, United States"
Basswood Resort,"Modern suites & cabins in a woodsy getaway offering a pizza parlor, a seasonal pool & a games room.","{'latitude': 39.3792054, 'longitude': -94.700311}",39.3792054,-94.700311,2,https://basswoodresort.com/?utm_source=google&utm_medium=maps,"[{'stars': 5, 'count': 609}, {'stars': 4, 'count': 220}, {'stars': 3, 'count': 84}, {'stars': 2, 'count': 55}, {'stars': 1, 'count': 94}]",1062,"[{'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 212, 'positive': 163, 'negative': 32, 'neutral': 17}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 202, 'positive': 151, 'negative': 35, 'neutral': 16}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 68, 'positive': 56, 'negative': 7, 'neutral': 5}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 25, 'positive': 5, 'negative': 15, 'neutral': 5}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 95, 'positive': 21, 'negative': 61, 'neutral': 13}]","Basswood Lake Road, Kerrville, Platte County, Missouri, United States"
Poker Mage | Play Poker Online,,"{'latitude': 37.666454699999996, 'longitude': -120.9946679}",37.6664547,-120.9946679,2,http://www.hotelsmarinet.com/,"[{'stars': 5, 'count': 28}, {'stars': 4, 'count': 17}, {'stars': 3, 'count': 27}, {'stars': 2, 'count': 34}, {'stars': 1, 'count': 97}]",203,"[{'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 13, 'positive': 0, 'negative': 12, 'neutral': 1}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 23, 'positive': 1, 'negative': 21, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 19, 'positive': 0, 'negative': 17, 'neutral': 2}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 16, 'positive': 0, 'negative': 15, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 20, 'positive': 2, 'negative': 17, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 48, 'positive': 3, 'negative': 44, 'neutral': 1}]","Ramada Modesto Yosemite Area, 1525, McHenry Avenue, Modesto, Stanislaus County, California, 95350, United States"
"Seven Gables Inn, St. Louis West, a Tribute Portfolio Hotel","Polished 1926 inn offering uniquely decorated rooms & suites, plus free continental breakfast.","{'latitude': 38.6511782, 'longitude': -90.3392215}",38.6511782,-90.3392215,3,https://www.marriott.com/en-us/hotels/stltw-seven-gables-inn-st-louis-west-a-tribute-portfolio-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 214}, {'stars': 4, 'count': 57}, {'stars': 3, 'count': 15}, {'stars': 2, 'count': 13}, {'stars': 1, 'count': 28}]",327,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 33, 'positive': 24, 'negative': 7, 'neutral': 2}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 16, 'positive': 9, 'negative': 5, 'neutral': 2}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 9, 'positive': 4, 'negative': 5, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 54, 'positive': 41, 'negative': 8, 'neutral': 5}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 56, 'positive': 44, 'negative': 10, 'neutral': 2}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 34, 'positive': 21, 'negative': 11, 'neutral': 2}]","Seven Gables Inn Tribute Portfolio, 26, North Meramec Avenue, Clayton, Saint Louis County, Missouri, 63105, United States"
Grand Center Inn,"Uniquely decorated rooms in upscale historic inn offering event space, free WiFi & parking.","{'latitude': 38.6411151, 'longitude': -90.23354719999999}",38.6411151,-90.2335472,3,http://www.grandcenterinn.com/,"[{'stars': 5, 'count': 12}, {'stars': 4, 'count': 0}, {'stars': 3, 'count': 0}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 6}]",18,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 8, 'positive': 4, 'negative': 1, 'neutral': 3}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 5, 'positive': 4, 'negative': 1, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 11, 'positive': 9, 'negative': 2, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 7, 'positive': 3, 'negative': 4, 'neutral': 0}]","3716, Grandel Square, Covenant Blu Grand Center, Saint Louis, Missouri, 63108, United States"
