Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Extended Stay America Select Suites - St Louis - Westport - East Lackland Rd.,Informal quarters with kitchens in a low-key all-suite hotel offering free Wi-Fi & breakfast.,"{'latitude': 38.6993957, 'longitude': -90.435451}",2,https://www.extendedstayamerica.com/hotels/mo/st-louis/westport-east-lackland-rd?channel=gmb-listing&utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,"[{'stars': 5, 'count': 331}, {'stars': 4, 'count': 134}, {'stars': 3, 'count': 110}, {'stars': 2, 'count': 74}, {'stars': 1, 'count': 203}]",852,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 21, 'positive': 8, 'negative': 9, 'neutral': 4}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 41, 'positive': 13, 'negative': 26, 'neutral': 2}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 15, 'positive': 6, 'negative': 9, 'neutral': 0}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 16, 'positive': 3, 'negative': 11, 'neutral': 2}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 13, 'positive': 2, 'negative': 11, 'neutral': 0}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 14, 'positive': 1, 'negative': 9, 'neutral': 4}]"
The Cheshire,"Upscale quarters in a Britain-inspired lodging with free breakfast, an outdoor pool & dining.","{'latitude': 38.633327699999995, 'longitude': -90.306958}",4,http://www.cheshirestl.com/,"[{'stars': 5, 'count': 1081}, {'stars': 4, 'count': 449}, {'stars': 3, 'count': 179}, {'stars': 2, 'count': 125}, {'stars': 1, 'count': 130}]",1964,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 273, 'positive': 215, 'negative': 31, 'neutral': 27}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 242, 'positive': 189, 'negative': 35, 'neutral': 18}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 108, 'positive': 86, 'negative': 19, 'neutral': 3}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 45, 'positive': 32, 'negative': 3, 'neutral': 10}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 88, 'positive': 55, 'negative': 19, 'neutral': 14}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 238, 'positive': 187, 'negative': 26, 'neutral': 25}]"
"Aviator Hotel & Suites South I-55, BW Signature Collection","Suburban hotel with free WiFi & an American restaurant, plus an indoor pool & fitness center.","{'latitude': 38.512553, 'longitude': -90.33382999999999}",3,https://www.aviatorhotelsuites.com/,"[{'stars': 5, 'count': 667}, {'stars': 4, 'count': 363}, {'stars': 3, 'count': 217}, {'stars': 2, 'count': 90}, {'stars': 1, 'count': 141}]",1478,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 423, 'positive': 287, 'negative': 104, 'neutral': 32}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 52, 'positive': 47, 'negative': 2, 'neutral': 3}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 83, 'positive': 57, 'negative': 15, 'neutral': 11}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 16, 'positive': 4, 'negative': 10, 'neutral': 2}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 13, 'positive': 2, 'negative': 8, 'neutral': 3}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 18, 'positive': 4, 'negative': 14, 'neutral': 0}]"
Yogi Bear's Jellystone Park,"Rustic property with cottages & cabins, plus a pool, BBQ grills, outdoor activities & mini golf.","{'latitude': 38.507238, 'longitude': -90.688583}",N/A,http://www.eurekajellystone.com/,"[{'stars': 5, 'count': 742}, {'stars': 4, 'count': 212}, {'stars': 3, 'count': 85}, {'stars': 2, 'count': 42}, {'stars': 1, 'count': 49}]",1130,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 41, 'positive': 30, 'negative': 5, 'neutral': 6}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 19, 'positive': 15, 'negative': 1, 'neutral': 3}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 14, 'positive': 5, 'negative': 7, 'neutral': 2}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 10, 'positive': 5, 'negative': 2, 'neutral': 3}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 13, 'positive': 2, 'negative': 7, 'neutral': 4}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 19, 'positive': 19, 'negative': 0, 'neutral': 0}]"
St. Louis West / Historic Route 66 KOA Holiday,N/A,"{'latitude': 38.50092970000001, 'longitude': -90.6889461}",N/A,https://koa.com/campgrounds/st-louis-west/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"[{'stars': 5, 'count': 670}, {'stars': 4, 'count': 195}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 32}, {'stars': 1, 'count': 44}]",1001,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 35, 'positive': 27, 'negative': 3, 'neutral': 5}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 27, 'positive': 9, 'negative': 6, 'neutral': 12}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 42, 'positive': 27, 'negative': 10, 'neutral': 5}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 17, 'positive': 5, 'negative': 9, 'neutral': 3}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 6, 'positive': 6, 'negative': 0, 'neutral': 0}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 24, 'positive': 11, 'negative': 12, 'neutral': 1}]"
"The Ritz-Carlton, St. Louis","Posh hotel featuring upscale restaurants, a cigar club & a lounge, plus a spa & a fitness center.","{'latitude': 38.6483683, 'longitude': -90.33114069999999}",4,https://www.ritzcarlton.com/en/hotels/stlrz-the-ritz-carlton-st-louis/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 1351}, {'stars': 4, 'count': 280}, {'stars': 3, 'count': 79}, {'stars': 2, 'count': 21}, {'stars': 1, 'count': 44}]",1775,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 65, 'positive': 46, 'negative': 3, 'neutral': 16}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 43, 'positive': 33, 'negative': 2, 'neutral': 8}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 19, 'positive': 13, 'negative': 4, 'neutral': 2}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 62, 'positive': 44, 'negative': 3, 'neutral': 15}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 135, 'positive': 107, 'negative': 14, 'neutral': 14}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 179, 'positive': 146, 'negative': 17, 'neutral': 16}]"
Gothic Heights Inn,N/A,"{'latitude': 38.615648, 'longitude': -90.293477}",N/A,https://www.gothicheightsinn.com/,"[{'stars': 5, 'count': 25}, {'stars': 4, 'count': 0}, {'stars': 3, 'count': 0}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 1}]",26,"[{'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 7, 'positive': 5, 'negative': 1, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 15, 'positive': 14, 'negative': 1, 'neutral': 0}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 7, 'positive': 7, 'negative': 0, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 15, 'positive': 15, 'negative': 0, 'neutral': 0}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 9, 'positive': 7, 'negative': 1, 'neutral': 1}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 7, 'positive': 7, 'negative': 0, 'neutral': 0}]"
Peak Resorts,N/A,"{'latitude': 38.5358832, 'longitude': -90.6508274}",N/A,N/A,"[{'stars': 5, 'count': 14}, {'stars': 4, 'count': 5}, {'stars': 3, 'count': 1}, {'stars': 2, 'count': 2}, {'stars': 1, 'count': 0}]",22,N/A
Moonrise Hotel,Stylish rooms & suites in an outerspace-themed boutique hotel with a hip rooftop bar & local fare.,"{'latitude': 38.6555695, 'longitude': -90.29870760000001}",4,http://moonrisehotel.com/,"[{'stars': 5, 'count': 1637}, {'stars': 4, 'count': 525}, {'stars': 3, 'count': 130}, {'stars': 2, 'count': 39}, {'stars': 1, 'count': 87}]",2418,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 653, 'positive': 544, 'negative': 51, 'neutral': 58}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 467, 'positive': 397, 'negative': 43, 'neutral': 27}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 748, 'positive': 666, 'negative': 47, 'neutral': 35}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 583, 'positive': 470, 'negative': 91, 'neutral': 22}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 72, 'positive': 66, 'negative': 3, 'neutral': 3}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 231, 'positive': 219, 'negative': 7, 'neutral': 5}]"
"Seven Gables Inn, St. Louis West, a Tribute Portfolio Hotel","Polished 1926 inn offering uniquely decorated rooms & suites, plus free continental breakfast.","{'latitude': 38.6511782, 'longitude': -90.3392215}",3,https://www.marriott.com/en-us/hotels/stltw-seven-gables-inn-st-louis-west-a-tribute-portfolio-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 214}, {'stars': 4, 'count': 57}, {'stars': 3, 'count': 15}, {'stars': 2, 'count': 13}, {'stars': 1, 'count': 28}]",327,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 33, 'positive': 24, 'negative': 7, 'neutral': 2}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 16, 'positive': 9, 'negative': 5, 'neutral': 2}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 9, 'positive': 4, 'negative': 5, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 54, 'positive': 41, 'negative': 8, 'neutral': 5}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 56, 'positive': 44, 'negative': 10, 'neutral': 2}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 34, 'positive': 21, 'negative': 11, 'neutral': 2}]"
