Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Fairfield Inn Deptford,"Unassuming hotel offering complimentary Wi-Fi & breakfast, plus an indoor pool & a gym.","{'latitude': 39.833973799999995, 'longitude': -75.0893198}",39.8339738,-75.0893198,2,https://www.marriott.com/en-us/hotels/phldf-fairfield-inn-deptford/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 254}, {'stars': 4, 'count': 158}, {'stars': 3, 'count': 112}, {'stars': 2, 'count': 58}, {'stars': 1, 'count': 84}]",666,"[{'name': 'Safety', 'description': 'Safety', 'total_mentioned': 17, 'positive': 6, 'negative': 10, 'neutral': 1}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 22, 'positive': 12, 'negative': 9, 'neutral': 1}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 8, 'positive': 2, 'negative': 5, 'neutral': 1}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 10, 'positive': 2, 'negative': 6, 'neutral': 2}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 6, 'positive': 3, 'negative': 2, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 211, 'positive': 142, 'negative': 54, 'neutral': 15}]","Fairfield Inn Deptford, 1160, Hurffville Road, Deptford Township, Gloucester County, New Jersey, 08096, United States"
Red Roof Inn & Suites Philadelphia - Bellmawr,"Laid-back budget hotel offering complimentary perks such as Wi-Fi, breakfast & parking.","{'latitude': 39.8644211, 'longitude': -75.078124}",39.8644211,-75.078124,2,https://www.redroof.com/property/nj/bellmawr/RRI332?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI332,"[{'stars': 5, 'count': 144}, {'stars': 4, 'count': 97}, {'stars': 3, 'count': 92}, {'stars': 2, 'count': 27}, {'stars': 1, 'count': 99}]",459,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 122, 'positive': 51, 'negative': 67, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 28, 'positive': 6, 'negative': 18, 'neutral': 4}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 24, 'positive': 6, 'negative': 13, 'neutral': 5}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 12, 'positive': 4, 'negative': 6, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 139, 'positive': 82, 'negative': 46, 'neutral': 11}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 7, 'positive': 1, 'negative': 5, 'neutral': 1}]","Red Roof Inn, 217, Black Horse Pike, Bellmawr, Camden County, New Jersey, 08059, United States"
Red Roof Inn & Suites Mt Holly - McGuire AFB,"Relaxed rooms, some with whirlpool tubs, in a straightforward hotel offering free Wi-Fi & a gym.","{'latitude': 40.0271883, 'longitude': -74.8190839}",40.0271883,-74.8190839,2,https://www.redroof.com/property/nj/mount-holly/rri306?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI306,"[{'stars': 5, 'count': 200}, {'stars': 4, 'count': 110}, {'stars': 3, 'count': 90}, {'stars': 2, 'count': 49}, {'stars': 1, 'count': 126}]",575,"[{'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 85, 'positive': 21, 'negative': 57, 'neutral': 7}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 22, 'positive': 12, 'negative': 9, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 153, 'positive': 69, 'negative': 78, 'neutral': 6}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 17, 'positive': 8, 'negative': 8, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 143, 'positive': 79, 'negative': 56, 'neutral': 8}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 163, 'positive': 79, 'negative': 72, 'neutral': 12}]","Red Roof Inn & Suites, NJ Turnpike Exit 5, Westampton Township, Burlington County, New Jersey, 08073, United States"
Red Roof Inn Mt Laurel,"Modest rooms, some with microwaves, in a casual budget hotel offering free parking & Wi-Fi.","{'latitude': 39.9303417, 'longitude': -74.9621174}",39.9303417,-74.9621174,2,https://www.redroof.com/property/nj/mount-laurel/RRI066?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI066,"[{'stars': 5, 'count': 309}, {'stars': 4, 'count': 224}, {'stars': 3, 'count': 187}, {'stars': 2, 'count': 117}, {'stars': 1, 'count': 259}]",1096,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 44, 'positive': 20, 'negative': 17, 'neutral': 7}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 179, 'positive': 36, 'negative': 127, 'neutral': 16}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 40, 'positive': 13, 'negative': 21, 'neutral': 6}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 42, 'positive': 6, 'negative': 35, 'neutral': 1}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 6, 'positive': 4, 'negative': 0, 'neutral': 2}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 108, 'positive': 12, 'negative': 89, 'neutral': 7}]","Red Roof Inn Mount Laurel, 603, Fellowship Road, Fellowship, Mount Laurel Township, Burlington County, New Jersey, 08054, United States"
Inn of the Dove at Bensalem-Jacuzzi & Fireplace Suites,"All-suites hotel featuring themed, romantic quarters with whirlpool tubs, fireplaces & kitchenettes.","{'latitude': 40.127098, 'longitude': -74.96726509999999}",40.127098,-74.96726509999999,2,https://www.dovesuites.com/,"[{'stars': 5, 'count': 593}, {'stars': 4, 'count': 222}, {'stars': 3, 'count': 87}, {'stars': 2, 'count': 49}, {'stars': 1, 'count': 143}]",1094,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 112, 'positive': 88, 'negative': 13, 'neutral': 11}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 110, 'positive': 60, 'negative': 42, 'neutral': 8}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 28, 'positive': 14, 'negative': 6, 'neutral': 8}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 6, 'positive': 2, 'negative': 4, 'neutral': 0}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 10, 'positive': 2, 'negative': 6, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 24, 'positive': 7, 'negative': 10, 'neutral': 7}]","3995, Old Street Road, Nottingham, Bensalem Township, Bucks County, Pennsylvania, 19020, United States"
Flying W Enterprises Incorporated,,"{'latitude': 39.935113099999995, 'longitude': -74.8089064}",39.9351131,-74.8089064,2,http://flyingwairport.com/,"[{'stars': 5, 'count': 29}, {'stars': 4, 'count': 16}, {'stars': 3, 'count': 5}, {'stars': 2, 'count': 2}, {'stars': 1, 'count': 3}]",55,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 9, 'positive': 6, 'negative': 1, 'neutral': 2}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 9, 'positive': 8, 'negative': 0, 'neutral': 1}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 6, 'positive': 5, 'negative': 1, 'neutral': 0}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 6, 'positive': 5, 'negative': 0, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 6, 'positive': 4, 'negative': 2, 'neutral': 0}]","Flying W Airport, 60, Fostertown Road, Medford Township, Burlington County, New Jersey, 08055, United States"
SpringHill Suites Philadelphia Langhorne,"Relaxed all-suite hotel featuring an indoor pool & a gym, plus complimentary Wi-Fi & breakfast.","{'latitude': 40.187396, 'longitude': -74.8706849}",40.187396,-74.8706849,2,https://www.marriott.com/en-us/hotels/phlsp-springhill-suites-philadelphia-langhorne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 311}, {'stars': 4, 'count': 178}, {'stars': 3, 'count': 77}, {'stars': 2, 'count': 49}, {'stars': 1, 'count': 104}]",719,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 140, 'positive': 103, 'negative': 13, 'neutral': 24}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 38, 'positive': 38, 'negative': 0, 'neutral': 0}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 13, 'positive': 4, 'negative': 8, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 13, 'positive': 4, 'negative': 9, 'neutral': 0}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 17, 'positive': 3, 'negative': 12, 'neutral': 2}]","SpringHill Suites Philadelphia Langhorne, 200, North Bucks Town Drive, Langhorne, Bucks County, Pennsylvania, 19047, United States"
Red Roof Inn Philadelphia - Oxford Valley,Down-to-earth rooms in a straightforward hotel featuring complimentary parking & Wi-Fi.,"{'latitude': 40.1912975, 'longitude': -74.86662280000002}",40.1912975,-74.86662280000002,2,https://www.redroof.com/property/pa/langhorne/RRI165?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI165,"[{'stars': 5, 'count': 243}, {'stars': 4, 'count': 180}, {'stars': 3, 'count': 141}, {'stars': 2, 'count': 64}, {'stars': 1, 'count': 185}]",813,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 53, 'positive': 30, 'negative': 14, 'neutral': 9}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 18, 'positive': 14, 'negative': 2, 'neutral': 2}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 17, 'positive': 4, 'negative': 10, 'neutral': 3}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 20, 'positive': 7, 'negative': 12, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 27, 'positive': 7, 'negative': 18, 'neutral': 2}]","Red Roof Inn, 3100, Cabot Boulevard, Dunlap, Falls Township, Bucks County, Pennsylvania, 19030, United States"
Red Roof Inn Princeton - Ewing,Colorful rooms in an unassuming budget hotel offering complimentary Wi-Fi & parking.,"{'latitude': 40.288959299999995, 'longitude': -74.6904165}",40.2889593,-74.6904165,2,https://www.redroof.com/property/nj/trenton/RRI111?Utm_source=GMB&utm_medium=Google&utm-campaign=GMB_Performance_RRI111,"[{'stars': 5, 'count': 235}, {'stars': 4, 'count': 177}, {'stars': 3, 'count': 148}, {'stars': 2, 'count': 77}, {'stars': 1, 'count': 186}]",823,"[{'name': 'Safety', 'description': 'Safety', 'total_mentioned': 25, 'positive': 7, 'negative': 17, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 43, 'positive': 7, 'negative': 27, 'neutral': 9}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 100, 'positive': 14, 'negative': 81, 'neutral': 5}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 203, 'positive': 113, 'negative': 81, 'neutral': 9}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 234, 'positive': 120, 'negative': 103, 'neutral': 11}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 16, 'positive': 5, 'negative': 10, 'neutral': 1}]","Red Roof Inn Princeton - Ewing, 3203, Brunswick Pike, Lawrence Township, Mercer County, New Jersey, 08648, United States"
Red Roof Inn Bordentown â€“ McGuire AFB,"Colorful rooms in an unfussy budget hotel offering a seasonal outdoor pool, plus free parking.","{'latitude': 40.1295897, 'longitude': -74.704284}",40.1295897,-74.704284,2,https://www.redroof.com/property/nj/Bordentown/RRI1118?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI1118,"[{'stars': 5, 'count': 208}, {'stars': 4, 'count': 82}, {'stars': 3, 'count': 45}, {'stars': 2, 'count': 20}, {'stars': 1, 'count': 47}]",402,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 21, 'positive': 18, 'negative': 2, 'neutral': 1}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 15, 'positive': 10, 'negative': 5, 'neutral': 0}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 28, 'positive': 16, 'negative': 9, 'neutral': 3}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 18, 'positive': 8, 'negative': 9, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 61, 'positive': 26, 'negative': 32, 'neutral': 3}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 128, 'positive': 92, 'negative': 29, 'neutral': 7}]","US 206, Bordentown Township, Burlington County, New Jersey, 08505, United States"
