Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
SpringHill Suites Ewing Princeton South,"Relaxed all-suite hotel with free WiFi, breakfast & airport transfers, plus an indoor pool & a bar.","{'latitude': 40.288277, 'longitude': -74.797478}",3,https://www.marriott.com/en-us/hotels/ttnsh-springhill-suites-ewing-princeton-south/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 377}, {'stars': 4, 'count': 187}, {'stars': 3, 'count': 52}, {'stars': 2, 'count': 21}, {'stars': 1, 'count': 43}]",680,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 202, 'positive': 150, 'negative': 42, 'neutral': 10}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 207, 'positive': 165, 'negative': 27, 'neutral': 15}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 155, 'positive': 119, 'negative': 32, 'neutral': 4}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 54, 'positive': 17, 'negative': 32, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 92, 'positive': 68, 'negative': 20, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 72, 'positive': 38, 'negative': 26, 'neutral': 8}]"
Courtyard Ewing Princeton,"Hotel offering contemporary rooms & an indoor pool, plus freebies such as an area shuttle & WiFi.","{'latitude': 40.286077999999996, 'longitude': -74.81005499999999}",3,https://www.marriott.com/en-us/hotels/ttnet-courtyard-ewing-princeton/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 266}, {'stars': 4, 'count': 166}, {'stars': 3, 'count': 61}, {'stars': 2, 'count': 30}, {'stars': 1, 'count': 37}]",560,"[{'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 8, 'positive': 5, 'negative': 2, 'neutral': 1}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 5, 'positive': 4, 'negative': 1, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 163, 'positive': 124, 'negative': 29, 'neutral': 10}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 164, 'positive': 126, 'negative': 24, 'neutral': 14}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 108, 'positive': 87, 'negative': 20, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 54, 'positive': 28, 'negative': 21, 'neutral': 5}]"
Red Roof Inn Princeton - Ewing,Colorful rooms in an unassuming budget hotel offering complimentary Wi-Fi & parking.,"{'latitude': 40.288959299999995, 'longitude': -74.6904165}",2,https://www.redroof.com/property/nj/trenton/RRI111?Utm_source=GMB&utm_medium=Google&utm-campaign=GMB_Performance_RRI111,"[{'stars': 5, 'count': 235}, {'stars': 4, 'count': 177}, {'stars': 3, 'count': 148}, {'stars': 2, 'count': 77}, {'stars': 1, 'count': 186}]",823,"[{'name': 'Safety', 'description': 'Safety', 'total_mentioned': 25, 'positive': 7, 'negative': 17, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 43, 'positive': 7, 'negative': 27, 'neutral': 9}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 100, 'positive': 14, 'negative': 81, 'neutral': 5}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 203, 'positive': 113, 'negative': 81, 'neutral': 9}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 234, 'positive': 120, 'negative': 103, 'neutral': 11}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 16, 'positive': 5, 'negative': 10, 'neutral': 1}]"
Sheraton Bucks County Langhorne,"Functional hotel with a casual restaurant & a cocktail lounge, plus an indoor pool & a 24-hour gym.","{'latitude': 40.1834992, 'longitude': -74.8693912}",3,https://www.marriott.com/en-us/hotels/phlbc-sheraton-bucks-county-langhorne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 800}, {'stars': 4, 'count': 428}, {'stars': 3, 'count': 169}, {'stars': 2, 'count': 79}, {'stars': 1, 'count': 140}]",1616,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 445, 'positive': 318, 'negative': 97, 'neutral': 30}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 457, 'positive': 333, 'negative': 99, 'neutral': 25}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 303, 'positive': 215, 'negative': 73, 'neutral': 15}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 11, 'positive': 3, 'negative': 7, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 15, 'positive': 0, 'negative': 11, 'neutral': 4}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 19, 'positive': 2, 'negative': 13, 'neutral': 4}]"
SpringHill Suites Philadelphia Langhorne,"Relaxed all-suite hotel featuring an indoor pool & a gym, plus complimentary Wi-Fi & breakfast.","{'latitude': 40.187396, 'longitude': -74.8706849}",2,https://www.marriott.com/en-us/hotels/phlsp-springhill-suites-philadelphia-langhorne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 311}, {'stars': 4, 'count': 178}, {'stars': 3, 'count': 77}, {'stars': 2, 'count': 49}, {'stars': 1, 'count': 104}]",719,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 140, 'positive': 103, 'negative': 13, 'neutral': 24}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 38, 'positive': 38, 'negative': 0, 'neutral': 0}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 13, 'positive': 4, 'negative': 8, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 13, 'positive': 4, 'negative': 9, 'neutral': 0}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 17, 'positive': 3, 'negative': 12, 'neutral': 2}]"
Courtyard Princeton,"Modern hotel with an American restaurant & an indoor pool, plus free WiFi & parking.","{'latitude': 40.3416917, 'longitude': -74.6268144}",3,https://www.marriott.com/en-us/hotels/ttncy-courtyard-princeton/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 283}, {'stars': 4, 'count': 203}, {'stars': 3, 'count': 73}, {'stars': 2, 'count': 33}, {'stars': 1, 'count': 34}]",626,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 156, 'positive': 127, 'negative': 24, 'neutral': 5}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 182, 'positive': 134, 'negative': 35, 'neutral': 13}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 108, 'positive': 76, 'negative': 22, 'neutral': 10}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 55, 'positive': 35, 'negative': 12, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 49, 'positive': 16, 'negative': 25, 'neutral': 8}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 31, 'positive': 7, 'negative': 21, 'neutral': 3}]"
Residence Inn Princeton at Carnegie Center,"Relaxed hotel offering studios & 1- or 2-bedroom suites with kitchens, plus a gym & free breakfast.","{'latitude': 40.317385099999996, 'longitude': -74.6594837}",3,https://www.marriott.com/en-us/hotels/ttnww-residence-inn-princeton-at-carnegie-center/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 196}, {'stars': 4, 'count': 94}, {'stars': 3, 'count': 37}, {'stars': 2, 'count': 10}, {'stars': 1, 'count': 18}]",355,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 13, 'positive': 7, 'negative': 6, 'neutral': 0}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 7, 'positive': 5, 'negative': 1, 'neutral': 1}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 7, 'positive': 4, 'negative': 3, 'neutral': 0}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 6, 'positive': 5, 'negative': 1, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 92, 'positive': 74, 'negative': 12, 'neutral': 6}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 108, 'positive': 77, 'negative': 18, 'neutral': 13}]"
Residence Inn Hamilton,"Unfussy suites in a laid-back hotel offering an indoor pool, a gym & a terrace, plus free breakfast.","{'latitude': 40.1875414, 'longitude': -74.6532865}",3,https://www.marriott.com/en-us/hotels/ttnrt-residence-inn-hamilton/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 449}, {'stars': 4, 'count': 142}, {'stars': 3, 'count': 26}, {'stars': 2, 'count': 19}, {'stars': 1, 'count': 50}]",686,"[{'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 39, 'positive': 25, 'negative': 5, 'neutral': 9}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 8, 'positive': 1, 'negative': 7, 'neutral': 0}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 20, 'positive': 8, 'negative': 8, 'neutral': 4}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 8, 'positive': 5, 'negative': 0, 'neutral': 3}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 14, 'positive': 2, 'negative': 10, 'neutral': 2}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 7, 'positive': 6, 'negative': 1, 'neutral': 0}]"
Sonesta ES Suites South Brunswick - Princeton,"Contemporary all-suite hotel with free Wi-Fi & hot breakfast, plus a BBQ area & an outdoor pool.","{'latitude': 40.378558399999996, 'longitude': -74.5821692}",3,https://www.sonesta.com/sonesta-es-suites/nj/monmouth-junction/sonesta-es-suites-south-brunswick-princeton,"[{'stars': 5, 'count': 252}, {'stars': 4, 'count': 136}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 30}, {'stars': 1, 'count': 73}]",551,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 21, 'positive': 13, 'negative': 5, 'neutral': 3}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 34, 'positive': 24, 'negative': 8, 'neutral': 2}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 38, 'positive': 24, 'negative': 8, 'neutral': 6}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 39, 'positive': 20, 'negative': 14, 'neutral': 5}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 7, 'positive': 6, 'negative': 1, 'neutral': 0}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 20, 'positive': 13, 'negative': 4, 'neutral': 3}]"
Red Roof Inn Philadelphia - Oxford Valley,Down-to-earth rooms in a straightforward hotel featuring complimentary parking & Wi-Fi.,"{'latitude': 40.1912975, 'longitude': -74.86662280000002}",2,https://www.redroof.com/property/pa/langhorne/RRI165?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI165,"[{'stars': 5, 'count': 243}, {'stars': 4, 'count': 180}, {'stars': 3, 'count': 141}, {'stars': 2, 'count': 64}, {'stars': 1, 'count': 185}]",813,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 53, 'positive': 30, 'negative': 14, 'neutral': 9}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 18, 'positive': 14, 'negative': 2, 'neutral': 2}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 17, 'positive': 4, 'negative': 10, 'neutral': 3}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 20, 'positive': 7, 'negative': 12, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 27, 'positive': 7, 'negative': 18, 'neutral': 2}]"
