Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
*New Listing to Vrbo* Lovely Lakefront Log Cabin in Medford Lakes,N/A,"{'latitude': 39.860477447509766, 'longitude': -74.79996490478516}",N/A,https://www.vrbo.com/2763258?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Lakefront home in a Tree Fort like setting  perched above the Spectacular Lake!!,N/A,"{'latitude': 39.84562683105469, 'longitude': -74.85005950927734}",N/A,https://www.vrbo.com/3496062?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Cozy and Private next to the Pinelands,N/A,"{'latitude': 39.84860610961914, 'longitude': -74.80570220947266}",N/A,N/A,N/A,40,N/A
Farmhouse stay with Alpacas and goats.,N/A,"{'latitude': 39.93769073486328, 'longitude': -74.75122833251953}",N/A,https://www.bluepillow.com/search?p_id=5b9138c97c00cb3428d8bb9e&dest=bpex&cat=Apartment&accomodationids=63975300fc70cceab61cf5be,N/A,N/A,N/A
Large One bedroom duplex 20 min from Philly,N/A,"{'latitude': 39.92474365234375, 'longitude': -74.88386535644531}",N/A,https://www.us.despegar.com/hotels/h-5867688,N/A,N/A,N/A
"Luxury Getaway, Indoor Pool, Hot Tub, Sleeps 16+",N/A,"{'latitude': 39.8041877746582, 'longitude': -74.96762084960938}",N/A,https://berlinoasis.holidayfuture.com/listings/258270?googleVR=1,N/A,52,N/A
Global Luxury Suites At Cherry Hill,N/A,"{'latitude': 39.9015998840332, 'longitude': -74.96040344238281}",N/A,https://www.super.com/travel/hotels/lXB5BEPG?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Beautiful Spacious 4-bedroom villa in welcoming Medford / Southampton,N/A,"{'latitude': 39.87036895751953, 'longitude': -74.76197814941406}",N/A,https://www.vrbo.com/4221362?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Cheerful - Berlin Bungalow \/ 2 Bedroom Home (boho),N/A,"{'latitude': 39.79410934448242, 'longitude': -74.93509674072266}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D76086362%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Mt Holly Home With Playground Grill Basketball, free cancel",N/A,"{'latitude': 39.991920471191406, 'longitude': -74.7987289428711}",N/A,https://www.booking.com/hotel/us/adorable-home-central-spot-playground-amp-grill.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10885469_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10885469;utm_campaign=en,N/A,1,N/A
"Luxury Vacation Home. 8ac 6,600sq.ft. 6Br/8Ba ~Sauna~ Gym",N/A,"{'latitude': 39.9161491394043, 'longitude': -74.78646087646484}",N/A,https://www.bluepillow.com/search?p_id=5b9138c97c00cb3428d8bb9e&dest=bpvr&cat=House&accomodationids=64906fd8ba24250813c2b9da,N/A,1,N/A
Charming and cozy 2-bed home in Evesham with everything needed for your stay.,N/A,"{'latitude': 39.800872802734375, 'longitude': -74.89325714111328}",N/A,https://www.vrbo.com/3910527?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,2,N/A
Spacious & Bright Lumberton Home With Backyard!,N/A,"{'latitude': 39.978031158447266, 'longitude': -74.78843688964844}",N/A,N/A,N/A,N/A,N/A
Fully Furnished studio apartment for traveling nurse in Cherry Hill,N/A,"{'latitude': 39.9144287109375, 'longitude': -74.98294830322266}",N/A,N/A,N/A,N/A,N/A
"Suburban Utopia! Quiet, Peacefull Private!!!",N/A,"{'latitude': 39.946128845214844, 'longitude': -74.79508209228516}",N/A,https://www.bluepillow.com/search?p_id=5b9138c97c00cb3428d8bb9e&dest=bpvr&cat=House&accomodationids=62176496a72397968073040d,N/A,N/A,N/A
Modern Clean Townhouse minutes away from Philadelphia,N/A,"{'latitude': 39.937034606933594, 'longitude': -74.9300537109375}",N/A,https://www.vrbo.com/3802533?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Entire home in Lumberton,N/A,"{'latitude': 39.98316192626953, 'longitude': -74.80242156982422}",N/A,N/A,N/A,18,N/A
Mt. Holly private one bedroom apt,N/A,"{'latitude': 40.0017204284668, 'longitude': -74.78849792480469}",N/A,https://www.us.despegar.com/hotels/h-5800668,N/A,N/A,N/A
