Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
New South Reno Home with Hot Tub,N/A,"{'latitude': 39.437259674072266, 'longitude': -119.73621368408203}",N/A,N/A,N/A,8,N/A
Game Room & Soaking Tub Near Mt. Rose & Lake Tahoe,N/A,"{'latitude': 39.43149185180664, 'longitude': -119.74916076660156}",N/A,https://www.roomlyreno.com/listings/165435?googleVR=1,N/A,103,N/A
Pet Friendly Reno Home With Private Yard + Hot Tub,N/A,"{'latitude': 39.39885330200195, 'longitude': -119.76575469970703}",N/A,https://www.bringfido.com/lodging/1898718?aid=googlerentals-website,N/A,1,N/A
Cozy Reno Retreat 2BR Family Home with BBQ Patio & Modern Amenities,N/A,"{'latitude': 39.423301696777344, 'longitude': -119.72824096679688}",N/A,https://new.rentalsunited.com/Property/3827820?sc=554691,N/A,N/A,N/A
Spacious South Reno home with Pool and Hot Tub 3/2.5,N/A,"{'latitude': 39.423824310302734, 'longitude': -119.7303466796875}",N/A,https://www.vrbo.com/2784551?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,11,N/A
"Unique, private mountain home, stunning views, king bed suite, dog friendly",N/A,"{'latitude': 39.38341522216797, 'longitude': -119.65421295166016}",N/A,N/A,N/A,6,N/A
Harry's Horse Hangout,N/A,"{'latitude': 39.37116622924805, 'longitude': -119.71891021728516}",N/A,N/A,N/A,N/A,N/A
Beautiful Reno Home with Private Yard and Hot Tub,N/A,"{'latitude': 39.39884948730469, 'longitude': -119.76576232910156}",N/A,N/A,N/A,1,N/A
Landing at Double R Apartments - 3 Bedrooms in Downtown Reno,N/A,"{'latitude': 39.452911376953125, 'longitude': -119.75714874267578}",N/A,https://landing.holidayfuture.com/listings/224126?googleVR=1,N/A,N/A,N/A
Desirable Reno Apartment: 15 Mi to Ski Slopes!,N/A,"{'latitude': 39.41105651855469, 'longitude': -119.72943878173828}",N/A,N/A,N/A,N/A,N/A
"NEW! Cozy 4-bedroom house in terrific South Reno. HOT TUB, AC & PET FRIENDLY",N/A,"{'latitude': 39.4085807800293, 'longitude': -119.74081420898438}",N/A,N/A,N/A,2,N/A
Quiet Reno Retreat about 12 Mi to Riverwalk District!,N/A,"{'latitude': 39.407508850097656, 'longitude': -119.73152160644531}",N/A,N/A,N/A,23,N/A
Pet Friendly Large Home Near Convention Center and Peppermill Casino,N/A,"{'latitude': 39.45662307739258, 'longitude': -119.77072143554688}",N/A,https://www.bringfido.com/lodging/131157?aid=googlerentals-website,N/A,28,N/A
Cozy 2 Bedroom Unit with Fireplace and Hot Tub,N/A,"{'latitude': 39.409420013427734, 'longitude': -119.75836944580078}",N/A,N/A,N/A,14,N/A
Cozy Cottage 12 Miles to Skiing - Hot tub!,N/A,"{'latitude': 39.43169403076172, 'longitude': -119.72222900390625}",N/A,N/A,N/A,3,N/A
Centrally Located Virginia City Home w/ Deck!,N/A,"{'latitude': 39.30982208251953, 'longitude': -119.65052032470703}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3865618&lc=google,N/A,7,N/A
Spacious South Reno Home Getaway,N/A,"{'latitude': 39.41167068481445, 'longitude': -119.72795867919922}",N/A,N/A,N/A,61,N/A
Centrally Located Reno Retreat w/ Patio & Yard,N/A,"{'latitude': 39.4813346862793, 'longitude': -119.75801086425781}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3577448&lc=google,N/A,6,N/A
