Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Downtown Elegance: Stylish Midtown Studio Getaway,N/A,"{'latitude': 39.50811004638672, 'longitude': -119.80549621582031}",N/A,https://www.dndstays.com/listings/230568?googleVR=1,N/A,20,N/A
The Sparks Studios #8!,N/A,"{'latitude': 39.53556442260742, 'longitude': -119.77250671386719}",N/A,https://www.thesparksstudios.com/listings/252087?googleVR=1,N/A,2,N/A
Modern lofty studio in Midtown / Charming Old SW,N/A,"{'latitude': 39.5046501159668, 'longitude': -119.8121566772461}",N/A,N/A,N/A,7,N/A
Heart of Reno Studio ~ 1 Mi to Downtown!,N/A,"{'latitude': 39.51499557495117, 'longitude': -119.81843566894531}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3210787&lc=google,N/A,48,N/A
The Townsite Motel #3,N/A,"{'latitude': 39.52743148803711, 'longitude': -119.81678009033203}",N/A,https://www.thesparksstudios.com/listings/235781?googleVR=1,N/A,4,N/A
Tanzanite,N/A,"{'latitude': 39.523433685302734, 'longitude': -119.8306884765625}",N/A,https://riverwestresort.holidayfuture.com/listings/312048?googleVR=1,N/A,76,N/A
Reno Oasis: Stylish 1-Bedroom Escape,N/A,"{'latitude': 39.52522277832031, 'longitude': -119.82484436035156}",N/A,https://www.dndstays.com/listings/183994?googleVR=1,N/A,69,N/A
"❤ of Victorian Square, Sparks Vacation Vibes",N/A,"{'latitude': 39.537757873535156, 'longitude': -119.75963592529297}",N/A,https://www.thatvacationvibe.com/listing/en/499602,N/A,6,N/A
"Free parking, WiFi, Queen 100' Screen, Kitchinette, popcorn machiine & walking distance to local restaurants and bars",N/A,"{'latitude': 39.515499114990234, 'longitude': -119.80950164794922}",N/A,https://greatnightstays.hostexbooking.site/detail?listing_id=103100,N/A,N/A,N/A
MidTown Reno Vacation Rental Less Than 2 Mi to Downtown!,N/A,"{'latitude': 39.51026916503906, 'longitude': -119.8065414428711}",N/A,N/A,N/A,N/A,N/A
Beautiful Sunsets at 3BR Villa in Reno,N/A,"{'latitude': 39.5349006652832, 'longitude': -119.86170196533203}",N/A,https://officialvacationhomes.guestybookings.com/properties/65f340eeb0f98d0013eed2cc,N/A,1,N/A
"Asian Zen Den-Jacuzzi, kitchinette, Wi-Fi, parking",N/A,"{'latitude': 39.53840255737305, 'longitude': -119.7500991821289}",N/A,https://greatnightstays.hostexbooking.site/detail?listing_id=104149,N/A,N/A,N/A
*Special~Marina Escape~Lake~Fishing~Dining~Casinos,N/A,"{'latitude': 39.53498077392578, 'longitude': -119.7260971069336}",N/A,https://www.myrentaladvisor.co/marina-escape-orp5b62a0bx,N/A,27,N/A
Beautiful Studio for Traveling Professionals or New to Reno Residents,N/A,"{'latitude': 39.5206184387207, 'longitude': -119.81182861328125}",N/A,N/A,N/A,12,N/A
Legacy Vacation Resorts Reno,N/A,"{'latitude': 39.522945404052734, 'longitude': -119.81400299072266}",N/A,N/A,N/A,4440,N/A
Landing at Marina Village Apartments - 1 Bedroom in Downtown Sparks,N/A,"{'latitude': 39.536441802978516, 'longitude': -119.72664642333984}",N/A,https://landing.holidayfuture.com/listings/225101?googleVR=1,N/A,N/A,N/A
MIDTOWN GEM - Available for the 4th July!!!,N/A,"{'latitude': 39.51863098144531, 'longitude': -119.80628967285156}",N/A,https://book.hostfully.com/otorongo-builders-%26-management-services/property-details/de65b8c2-dcdc-4015-9d7d-64d91101485f/midtown-gem-elevated-experience%21,N/A,N/A,N/A
Brand new 1 bedroom,N/A,"{'latitude': 39.51377868652344, 'longitude': -119.80509948730469}",N/A,https://www.bluepillow.com/search?p_id=589dffc97c00cb10c8daef08&dest=bpvr&cat=Apartment&accomodationids=64906f6aba24250813c24ea6,N/A,4,N/A
