Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
SpringHill Suites Philadelphia Langhorne,"Relaxed all-suite hotel featuring an indoor pool & a gym, plus complimentary Wi-Fi & breakfast.","{'latitude': 40.187396, 'longitude': -74.8706849}",40.187396,-74.8706849,2,https://www.marriott.com/en-us/hotels/phlsp-springhill-suites-philadelphia-langhorne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 311}, {'stars': 4, 'count': 178}, {'stars': 3, 'count': 77}, {'stars': 2, 'count': 49}, {'stars': 1, 'count': 104}]",719,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 140, 'positive': 103, 'negative': 13, 'neutral': 24}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 38, 'positive': 38, 'negative': 0, 'neutral': 0}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 13, 'positive': 4, 'negative': 8, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 13, 'positive': 4, 'negative': 9, 'neutral': 0}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 17, 'positive': 3, 'negative': 12, 'neutral': 2}]","SpringHill Suites Philadelphia Langhorne, 200, North Bucks Town Drive, Langhorne, Bucks County, Pennsylvania, 19047, United States"
Red Roof Inn Princeton - Ewing,Colorful rooms in an unassuming budget hotel offering complimentary Wi-Fi & parking.,"{'latitude': 40.288959299999995, 'longitude': -74.6904165}",40.2889593,-74.6904165,2,https://www.redroof.com/property/nj/trenton/RRI111?Utm_source=GMB&utm_medium=Google&utm-campaign=GMB_Performance_RRI111,"[{'stars': 5, 'count': 235}, {'stars': 4, 'count': 177}, {'stars': 3, 'count': 148}, {'stars': 2, 'count': 77}, {'stars': 1, 'count': 186}]",823,"[{'name': 'Safety', 'description': 'Safety', 'total_mentioned': 25, 'positive': 7, 'negative': 17, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 43, 'positive': 7, 'negative': 27, 'neutral': 9}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 100, 'positive': 14, 'negative': 81, 'neutral': 5}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 203, 'positive': 113, 'negative': 81, 'neutral': 9}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 234, 'positive': 120, 'negative': 103, 'neutral': 11}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 16, 'positive': 5, 'negative': 10, 'neutral': 1}]","Red Roof Inn Princeton - Ewing, 3203, Brunswick Pike, Lawrence Township, Mercer County, New Jersey, 08648, United States"
Red Roof Inn & Suites Mt Holly - McGuire AFB,"Relaxed rooms, some with whirlpool tubs, in a straightforward hotel offering free Wi-Fi & a gym.","{'latitude': 40.0271883, 'longitude': -74.8190839}",40.0271883,-74.8190839,2,https://www.redroof.com/property/nj/mount-holly/rri306?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI306,"[{'stars': 5, 'count': 200}, {'stars': 4, 'count': 110}, {'stars': 3, 'count': 90}, {'stars': 2, 'count': 49}, {'stars': 1, 'count': 126}]",575,"[{'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 85, 'positive': 21, 'negative': 57, 'neutral': 7}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 22, 'positive': 12, 'negative': 9, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 153, 'positive': 69, 'negative': 78, 'neutral': 6}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 17, 'positive': 8, 'negative': 8, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 143, 'positive': 79, 'negative': 56, 'neutral': 8}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 163, 'positive': 79, 'negative': 72, 'neutral': 12}]","Red Roof Inn & Suites, NJ Turnpike Exit 5, Westampton Township, Burlington County, New Jersey, 08073, United States"
Red Roof Inn Philadelphia - Oxford Valley,Down-to-earth rooms in a straightforward hotel featuring complimentary parking & Wi-Fi.,"{'latitude': 40.1912975, 'longitude': -74.86662280000002}",40.1912975,-74.86662280000002,2,https://www.redroof.com/property/pa/langhorne/RRI165?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI165,"[{'stars': 5, 'count': 243}, {'stars': 4, 'count': 180}, {'stars': 3, 'count': 141}, {'stars': 2, 'count': 64}, {'stars': 1, 'count': 185}]",813,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 53, 'positive': 30, 'negative': 14, 'neutral': 9}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 18, 'positive': 14, 'negative': 2, 'neutral': 2}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 17, 'positive': 4, 'negative': 10, 'neutral': 3}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 20, 'positive': 7, 'negative': 12, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 27, 'positive': 7, 'negative': 18, 'neutral': 2}]","Red Roof Inn, 3100, Cabot Boulevard, Dunlap, Falls Township, Bucks County, Pennsylvania, 19030, United States"
Carriage House of New Hope,"Charming inn featuring complimentary breakfast, plus a cozy lounge & river views.","{'latitude': 40.3618589, 'longitude': -74.9500726}",40.3618589,-74.9500726,2,http://www.carriagehouseofnewhope.com/,"[{'stars': 5, 'count': 19}, {'stars': 4, 'count': 3}, {'stars': 3, 'count': 0}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 2}]",24,"[{'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 10, 'positive': 9, 'negative': 1, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 9, 'positive': 9, 'negative': 0, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 7, 'positive': 6, 'negative': 1, 'neutral': 0}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 5, 'positive': 4, 'negative': 1, 'neutral': 0}]","Carriage House of New Hope, 8, East Mechanic Street, New Hope, Bucks County, Pennsylvania, 18938, United States"
TownePlace Suites Philadelphia Horsham,"Relaxed all-suite hotel featuring a gym & BBQs, as well as complimentary breakfast & parking.","{'latitude': 40.19234, 'longitude': -75.1540804}",40.19234,-75.1540804,2,https://www.marriott.com/en-us/hotels/phlth-towneplace-suites-philadelphia-horsham/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 175}, {'stars': 4, 'count': 120}, {'stars': 3, 'count': 53}, {'stars': 2, 'count': 21}, {'stars': 1, 'count': 26}]",395,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 25, 'positive': 6, 'negative': 13, 'neutral': 6}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 9, 'positive': 1, 'negative': 6, 'neutral': 2}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 13, 'positive': 4, 'negative': 7, 'neutral': 2}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 9, 'positive': 3, 'negative': 2, 'neutral': 4}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 5, 'positive': 1, 'negative': 2, 'neutral': 2}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 42, 'positive': 15, 'negative': 17, 'neutral': 10}]","TownePlace Suites, 198, Precision Drive, Victoria Glen, Horsham, Horsham Township, Montgomery County, Pennsylvania, 19044, United States"
Inn of the Dove at Bensalem-Jacuzzi & Fireplace Suites,"All-suites hotel featuring themed, romantic quarters with whirlpool tubs, fireplaces & kitchenettes.","{'latitude': 40.127098, 'longitude': -74.96726509999999}",40.127098,-74.96726509999999,2,https://www.dovesuites.com/,"[{'stars': 5, 'count': 593}, {'stars': 4, 'count': 222}, {'stars': 3, 'count': 87}, {'stars': 2, 'count': 49}, {'stars': 1, 'count': 143}]",1094,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 112, 'positive': 88, 'negative': 13, 'neutral': 11}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 110, 'positive': 60, 'negative': 42, 'neutral': 8}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 28, 'positive': 14, 'negative': 6, 'neutral': 8}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 6, 'positive': 2, 'negative': 4, 'neutral': 0}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 10, 'positive': 2, 'negative': 6, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 24, 'positive': 7, 'negative': 10, 'neutral': 7}]","3995, Old Street Road, Nottingham, Bensalem Township, Bucks County, Pennsylvania, 19020, United States"
Mainstay Inn,"Casual redbrick hotel offering simple rooms, plus free continental breakfast, parking & Wi-Fi.","{'latitude': 40.1338055, 'longitude': -75.51543199999999}",40.1338055,-75.51543199999999,2,https://www.mainstayinn.net/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16963254304344759994,"[{'stars': 5, 'count': 107}, {'stars': 4, 'count': 70}, {'stars': 3, 'count': 53}, {'stars': 2, 'count': 28}, {'stars': 1, 'count': 32}]",290,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 69, 'positive': 57, 'negative': 9, 'neutral': 3}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 83, 'positive': 55, 'negative': 21, 'neutral': 7}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 26, 'positive': 5, 'negative': 18, 'neutral': 3}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 55, 'positive': 8, 'negative': 40, 'neutral': 7}]","Il Granaio, 184, Bridge Street, Phoenixville, Chester County, Pennsylvania, 19460, United States"
French Creek Inn,"Simple roadside hotel offering rooms with microwaves, fridges & TVs, plus free breakfast & parking.","{'latitude': 40.1432313, 'longitude': -75.5494689}",40.1432313,-75.5494689,2,http://www.frenchcreekinn.net/,"[{'stars': 5, 'count': 59}, {'stars': 4, 'count': 67}, {'stars': 3, 'count': 27}, {'stars': 2, 'count': 13}, {'stars': 1, 'count': 29}]",195,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 63, 'positive': 50, 'negative': 9, 'neutral': 4}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 21, 'positive': 17, 'negative': 3, 'neutral': 1}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 19, 'positive': 13, 'negative': 5, 'neutral': 1}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 28, 'positive': 5, 'negative': 17, 'neutral': 6}]","French Creek Inn, 2, Ridge Road, East Pikeland Township, Chester County, Pennsylvania, 19442, United States"
Fairfield Inn Philadelphia Valley Forge/King of Prussia,"Straightforward hotel with free Wi-Fi, hot breakfast & parking, plus a fitness room.","{'latitude': 40.0909753, 'longitude': -75.3897741}",40.0909753,-75.3897741,2,https://www.marriott.com/en-us/hotels/phlvf-fairfield-inn-philadelphia-valley-forge-king-of-prussia/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 144}, {'stars': 4, 'count': 107}, {'stars': 3, 'count': 52}, {'stars': 2, 'count': 23}, {'stars': 1, 'count': 25}]",351,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 111, 'positive': 75, 'negative': 26, 'neutral': 10}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 69, 'positive': 52, 'negative': 15, 'neutral': 2}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 61, 'positive': 48, 'negative': 8, 'neutral': 5}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 37, 'positive': 11, 'negative': 21, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 44, 'positive': 27, 'negative': 12, 'neutral': 5}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 27, 'positive': 5, 'negative': 20, 'neutral': 2}]","Fairfield Inn Philadelphia Valley Forge/King of Prussia, 258, Mall Boulevard, Lafayette Park, King of Prussia, Upper Merion Township, Montgomery County, Pennsylvania, 19406, United States"
