Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
The Woodlands Inn and Resort,"Hotel on creekside with conference rooms, plus a pool & hot tub as well as restaurants & nightclub.","{'latitude': 41.254509000000006, 'longitude': -75.82453699999999}",3,http://stayinthewoods.com/,"[{'stars': 5, 'count': 1406}, {'stars': 4, 'count': 599}, {'stars': 3, 'count': 251}, {'stars': 2, 'count': 80}, {'stars': 1, 'count': 128}]",2464,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 429, 'positive': 327, 'negative': 76, 'neutral': 26}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 511, 'positive': 362, 'negative': 109, 'neutral': 40}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 264, 'positive': 199, 'negative': 36, 'neutral': 29}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 12, 'positive': 1, 'negative': 10, 'neutral': 1}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 18, 'positive': 2, 'negative': 12, 'neutral': 4}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 28, 'positive': 6, 'negative': 21, 'neutral': 1}]"
Fairfield Inn & Suites Philadelphia Horsham,"Relaxed rooms & suites in a casual hotel offering an indoor pool, plus free breakfast & Wi-Fi.","{'latitude': 40.1606488, 'longitude': -75.13282459999999}",3,https://www.marriott.com/en-us/hotels/phlfg-fairfield-inn-and-suites-philadelphia-horsham/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 306}, {'stars': 4, 'count': 158}, {'stars': 3, 'count': 57}, {'stars': 2, 'count': 19}, {'stars': 1, 'count': 45}]",585,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 7, 'positive': 4, 'negative': 2, 'neutral': 1}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 17, 'positive': 13, 'negative': 4, 'neutral': 0}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 6, 'positive': 1, 'negative': 1, 'neutral': 4}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 10, 'positive': 5, 'negative': 5, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 193, 'positive': 138, 'negative': 46, 'neutral': 9}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 166, 'positive': 132, 'negative': 28, 'neutral': 6}]"
TownePlace Suites Philadelphia Horsham,"Relaxed all-suite hotel featuring a gym & BBQs, as well as complimentary breakfast & parking.","{'latitude': 40.19234, 'longitude': -75.1540804}",2,https://www.marriott.com/en-us/hotels/phlth-towneplace-suites-philadelphia-horsham/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 175}, {'stars': 4, 'count': 120}, {'stars': 3, 'count': 53}, {'stars': 2, 'count': 21}, {'stars': 1, 'count': 26}]",395,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 25, 'positive': 6, 'negative': 13, 'neutral': 6}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 9, 'positive': 1, 'negative': 6, 'neutral': 2}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 13, 'positive': 4, 'negative': 7, 'neutral': 2}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 9, 'positive': 3, 'negative': 2, 'neutral': 4}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 5, 'positive': 1, 'negative': 2, 'neutral': 2}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 42, 'positive': 15, 'negative': 17, 'neutral': 10}]"
City Hall Grand Hotel,Hip individually decorated quarters in a boutique hotel set in a former 19th-century city hall.,"{'latitude': 41.24256, 'longitude': -77.0037167}",3,http://www.cityhallgrandhotel.com/,"[{'stars': 5, 'count': 285}, {'stars': 4, 'count': 46}, {'stars': 3, 'count': 17}, {'stars': 2, 'count': 3}, {'stars': 1, 'count': 12}]",363,"[{'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 20, 'positive': 11, 'negative': 7, 'neutral': 2}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 12, 'positive': 8, 'negative': 1, 'neutral': 3}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 11, 'positive': 7, 'negative': 4, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 66, 'positive': 64, 'negative': 1, 'neutral': 1}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 10, 'positive': 7, 'negative': 1, 'neutral': 2}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 42, 'positive': 11, 'negative': 17, 'neutral': 14}]"
TownePlace Suites by Marriott Williamsport PA,"Simple suites with kitchens in a casual hotel offering free breakfast & Wi-Fi, plus an indoor pool.","{'latitude': 41.2404967, 'longitude': -77.0010951}",2,https://www.marriott.com/en-us/hotels/iptts-towneplace-suites-williamsport-pa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 283}, {'stars': 4, 'count': 109}, {'stars': 3, 'count': 25}, {'stars': 2, 'count': 8}, {'stars': 1, 'count': 12}]",437,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 11, 'positive': 7, 'negative': 2, 'neutral': 2}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 95, 'positive': 83, 'negative': 10, 'neutral': 2}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 5, 'positive': 4, 'negative': 1, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 53, 'positive': 47, 'negative': 1, 'neutral': 5}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 21, 'positive': 15, 'negative': 4, 'neutral': 2}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 36, 'positive': 16, 'negative': 15, 'neutral': 5}]"
Radisson Lackawanna Station Hotel Scranton,"Warm quarters in a grand former train station, plus 2 restaurants, a gym & a free airport shuttle.","{'latitude': 41.405549199999996, 'longitude': -75.6613746}",3,https://www.choicehotels.com/pennsylvania/scranton/radisson-hotels/pa980?mc=llgoxxpx,"[{'stars': 5, 'count': 1201}, {'stars': 4, 'count': 530}, {'stars': 3, 'count': 181}, {'stars': 2, 'count': 86}, {'stars': 1, 'count': 124}]",2122,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 78, 'positive': 45, 'negative': 17, 'neutral': 16}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 150, 'positive': 108, 'negative': 11, 'neutral': 31}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 735, 'positive': 562, 'negative': 116, 'neutral': 57}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 534, 'positive': 402, 'negative': 102, 'neutral': 30}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 286, 'positive': 196, 'negative': 73, 'neutral': 17}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 151, 'positive': 61, 'negative': 77, 'neutral': 13}]"
The Inn Starlight Lake & Restaurant,"Lakeside inn dating back to 1909 with cozy rooms, suites & cottage lodging, plus a restaurant & bar.","{'latitude': 41.9072269, 'longitude': -75.335509}",3,http://www.innatstarlightlake.com/,"[{'stars': 5, 'count': 116}, {'stars': 4, 'count': 31}, {'stars': 3, 'count': 7}, {'stars': 2, 'count': 7}, {'stars': 1, 'count': 24}]",185,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 48, 'positive': 35, 'negative': 10, 'neutral': 3}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 21, 'positive': 9, 'negative': 10, 'neutral': 2}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 13, 'positive': 2, 'negative': 9, 'neutral': 2}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 10, 'positive': 7, 'negative': 0, 'neutral': 3}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 36, 'positive': 29, 'negative': 5, 'neutral': 2}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 20, 'positive': 13, 'negative': 5, 'neutral': 2}]"
SpringHill Suites Harrisburg Hershey,"Contemporary all-suite hotel with free breakfast, parking & an airport shuttle, plus an indoor pool.","{'latitude': 40.3031553, 'longitude': -76.8552945}",3,https://www.marriott.com/en-us/hotels/haret-springhill-suites-harrisburg-hershey/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 358}, {'stars': 4, 'count': 217}, {'stars': 3, 'count': 55}, {'stars': 2, 'count': 29}, {'stars': 1, 'count': 32}]",691,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 236, 'positive': 191, 'negative': 37, 'neutral': 8}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 168, 'positive': 134, 'negative': 27, 'neutral': 7}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 182, 'positive': 135, 'negative': 38, 'neutral': 9}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 16, 'positive': 5, 'negative': 8, 'neutral': 3}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 29, 'positive': 10, 'negative': 18, 'neutral': 1}]"
Fairfield Inn Scranton,"Casual hotel offering straightforward rooms, as well as complimentary breakfast & Wi-Fi.","{'latitude': 41.454274399999996, 'longitude': -75.6487709}",2,https://www.marriott.com/en-us/hotels/scrfi-fairfield-inn-scranton/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 222}, {'stars': 4, 'count': 135}, {'stars': 3, 'count': 79}, {'stars': 2, 'count': 34}, {'stars': 1, 'count': 40}]",510,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 150, 'positive': 117, 'negative': 25, 'neutral': 8}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 166, 'positive': 112, 'negative': 44, 'neutral': 10}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 138, 'positive': 88, 'negative': 40, 'neutral': 10}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 81, 'positive': 45, 'negative': 22, 'neutral': 14}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 70, 'positive': 32, 'negative': 27, 'neutral': 11}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 51, 'positive': 14, 'negative': 35, 'neutral': 2}]"
SpringHill Suites Pittsburgh Butler/Centre City,Casual suites in a straightforward hotel offering an indoor pool & a fitness center.,"{'latitude': 40.8607271, 'longitude': -79.8940368}",2,https://www.marriott.com/en-us/hotels/pitut-springhill-suites-pittsburgh-butler-centre-city/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 238}, {'stars': 4, 'count': 79}, {'stars': 3, 'count': 17}, {'stars': 2, 'count': 5}, {'stars': 1, 'count': 20}]",359,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 83, 'positive': 74, 'negative': 7, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 55, 'positive': 29, 'negative': 17, 'neutral': 9}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 34, 'positive': 21, 'negative': 11, 'neutral': 2}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 39, 'positive': 30, 'negative': 7, 'neutral': 2}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 26, 'positive': 10, 'negative': 13, 'neutral': 3}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 27, 'positive': 14, 'negative': 9, 'neutral': 4}]"
