Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
The Doylestown Inn,"Upscale boutique hotel built in 1871 offering antiques-filled rooms, plus 2 bars & trendy dining.","{'latitude': 40.3096259, 'longitude': -75.1309593}",4,https://www.hatterydoylestown.com/,"[{'stars': 5, 'count': 133}, {'stars': 4, 'count': 43}, {'stars': 3, 'count': 6}, {'stars': 2, 'count': 2}, {'stars': 1, 'count': 4}]",188,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 17, 'positive': 15, 'negative': 1, 'neutral': 1}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 23, 'positive': 21, 'negative': 1, 'neutral': 1}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 19, 'positive': 6, 'negative': 7, 'neutral': 6}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 10, 'positive': 10, 'negative': 0, 'neutral': 0}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 29, 'positive': 27, 'negative': 1, 'neutral': 1}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 12, 'positive': 5, 'negative': 5, 'neutral': 2}]"
Woolverton Inn,"Plush quarters, some with whirlpool tubs, in a refined B&B offering a 3-course breakfast.","{'latitude': 40.409289699999995, 'longitude': -74.98019169999999}",4,https://www.woolvertoninn.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,"[{'stars': 5, 'count': 337}, {'stars': 4, 'count': 21}, {'stars': 3, 'count': 4}, {'stars': 2, 'count': 2}, {'stars': 1, 'count': 2}]",366,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 139, 'positive': 134, 'negative': 2, 'neutral': 3}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 68, 'positive': 60, 'negative': 1, 'neutral': 7}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 63, 'positive': 62, 'negative': 1, 'neutral': 0}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 49, 'positive': 40, 'negative': 4, 'neutral': 5}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 40, 'positive': 34, 'negative': 1, 'neutral': 5}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 32, 'positive': 28, 'negative': 4, 'neutral': 0}]"
The Inn at Bowman's Hill,Elegant B&B on a 5-acre estate offering 2-person whirlpool tubs & an outdoor pool.,"{'latitude': 40.322689, 'longitude': -74.93955989999999}",4,http://www.theinnatbowmanshill.com/,"[{'stars': 5, 'count': 262}, {'stars': 4, 'count': 5}, {'stars': 3, 'count': 1}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 3}]",271,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 148, 'positive': 145, 'negative': 3, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 120, 'positive': 117, 'negative': 2, 'neutral': 1}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 118, 'positive': 115, 'negative': 1, 'neutral': 2}]"
Carriage House of New Hope,"Charming inn featuring complimentary breakfast, plus a cozy lounge & river views.","{'latitude': 40.3618589, 'longitude': -74.9500726}",2,http://www.carriagehouseofnewhope.com/,"[{'stars': 5, 'count': 19}, {'stars': 4, 'count': 3}, {'stars': 3, 'count': 0}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 2}]",24,"[{'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 10, 'positive': 9, 'negative': 1, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 9, 'positive': 9, 'negative': 0, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 7, 'positive': 6, 'negative': 1, 'neutral': 0}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 5, 'positive': 4, 'negative': 1, 'neutral': 0}]"
Golden Pheasant Inn,"Upscale accommodations in an 1857 landmark with modern amenities & water views, plus fine dining.","{'latitude': 40.4910254, 'longitude': -75.069389}",3,http://www.goldenpheasant.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,"[{'stars': 5, 'count': 259}, {'stars': 4, 'count': 46}, {'stars': 3, 'count': 29}, {'stars': 2, 'count': 11}, {'stars': 1, 'count': 9}]",354,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 121, 'positive': 103, 'negative': 10, 'neutral': 8}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 110, 'positive': 88, 'negative': 15, 'neutral': 7}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 68, 'positive': 63, 'negative': 3, 'neutral': 2}]"
Logan Inn in New Hope PA,"Upscale 18th-century lodging offering rooms with period furnishings & free WiFi, plus 2 restaurants.","{'latitude': 40.3633355, 'longitude': -74.95159919999999}",3,http://loganinn.com/,"[{'stars': 5, 'count': 508}, {'stars': 4, 'count': 203}, {'stars': 3, 'count': 74}, {'stars': 2, 'count': 40}, {'stars': 1, 'count': 56}]",881,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 159, 'positive': 100, 'negative': 41, 'neutral': 18}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 255, 'positive': 180, 'negative': 55, 'neutral': 20}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 25, 'positive': 17, 'negative': 4, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 96, 'positive': 75, 'negative': 16, 'neutral': 5}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 191, 'positive': 154, 'negative': 23, 'neutral': 14}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 17, 'positive': 5, 'negative': 11, 'neutral': 1}]"
Bridgeton House on the Delaware,"Country-chic rooms & suites, plus a penthouse & private cottage in a high-end riverfront B&B.","{'latitude': 40.565382, 'longitude': -75.099398}",N/A,https://www.bridgetonhouse.com/?utm_source=google&utm_medium=organic&utm_campaign=+googlemybusiness,"[{'stars': 5, 'count': 185}, {'stars': 4, 'count': 18}, {'stars': 3, 'count': 5}, {'stars': 2, 'count': 2}, {'stars': 1, 'count': 3}]",213,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 79, 'positive': 73, 'negative': 2, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 78, 'positive': 73, 'negative': 2, 'neutral': 3}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 73, 'positive': 65, 'negative': 3, 'neutral': 5}]"
Joseph Ambler Inn,"Country-chic quarters on an 18th-century farm, plus a casual pub, free breakfast & upmarket dining.","{'latitude': 40.2385419, 'longitude': -75.2272587}",3,http://www.josephamblerinn.com/,"[{'stars': 5, 'count': 1069}, {'stars': 4, 'count': 346}, {'stars': 3, 'count': 89}, {'stars': 2, 'count': 43}, {'stars': 1, 'count': 41}]",1588,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 363, 'positive': 309, 'negative': 34, 'neutral': 20}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 405, 'positive': 341, 'negative': 45, 'neutral': 19}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 329, 'positive': 277, 'negative': 26, 'neutral': 26}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 19, 'positive': 0, 'negative': 16, 'neutral': 3}]"
River House at Odette's,"Choice riverside hotel in a brick building with a swanky restaurant, a piano lounge & a rooftop bar.","{'latitude': 40.3556673, 'longitude': -74.9483225}",N/A,https://www.riverhousenewhope.com/,"[{'stars': 5, 'count': 395}, {'stars': 4, 'count': 71}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 52}, {'stars': 1, 'count': 71}]",649,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 147, 'positive': 94, 'negative': 40, 'neutral': 13}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 107, 'positive': 34, 'negative': 63, 'neutral': 10}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 50, 'positive': 32, 'negative': 9, 'neutral': 9}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 218, 'positive': 124, 'negative': 69, 'neutral': 25}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 72, 'positive': 48, 'negative': 14, 'neutral': 10}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 41, 'positive': 41, 'negative': 0, 'neutral': 0}]"
Hotel Du Village,"Boutique hotel on a remodeled country estate offering modern rooms, an outdoor pool & tennis courts.","{'latitude': 40.3811371, 'longitude': -74.9659468}",3,https://landmarkvenues.com/venues/hotel-du-village-bucks-county-pa/,"[{'stars': 5, 'count': 271}, {'stars': 4, 'count': 78}, {'stars': 3, 'count': 22}, {'stars': 2, 'count': 10}, {'stars': 1, 'count': 23}]",404,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 139, 'positive': 107, 'negative': 13, 'neutral': 19}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 116, 'positive': 95, 'negative': 19, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 77, 'positive': 58, 'negative': 12, 'neutral': 7}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 20, 'positive': 4, 'negative': 14, 'neutral': 2}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 17, 'positive': 1, 'negative': 13, 'neutral': 3}]"
