Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Siren's Cozy Cove: Hideaway 15min from Center CITY,N/A,"{'latitude': 40.03065872192383, 'longitude': -75.08235931396484}",N/A,N/A,N/A,N/A,N/A
"Luxurious 2BD, Fireplace, family friendly, Central",N/A,"{'latitude': 39.983768463134766, 'longitude': -75.12451934814453}",N/A,N/A,N/A,13,N/A
Spacious Open Flat by the Park & Metro,N/A,"{'latitude': 39.98418045043945, 'longitude': -75.13322448730469}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/52050/spacious-open-design-apt-near-fishtown-norris-sq,N/A,32,N/A
2BD Home with own fenced patio - Near Fishtown,N/A,"{'latitude': 39.9852294921875, 'longitude': -75.12112426757812}",N/A,https://fullcircle.holidayfuture.com/listings/262243?googleVR=1,N/A,N/A,N/A
2 bedroom 1 bath apartment in Melrose Park,N/A,"{'latitude': 40.05612564086914, 'longitude': -75.1248779296875}",N/A,https://res.willowpa.com/property-details/9a2e7ab5-3487-4c7e-ba91-b3e04c8462fc/-2-bedroom-1-bath-apartmenta1,N/A,N/A,N/A
Sweet Casa - Fully Equipped 4BR & Free Parking,N/A,"{'latitude': 40.01693344116211, 'longitude': -75.07476806640625}",N/A,https://book.hostfully.com/sweetcasa-llc/property-details/cd2bbbe3-77f6-4874-a41e-9b553f3a8cc7/sweet-casa---fully-equipped-4br-%26-free-parking,N/A,1,N/A
Private Studio with Kitchenette,N/A,"{'latitude': 40.01900863647461, 'longitude': -75.1171646118164}",N/A,https://google.bookeddirectly.com/g/philadelphia/private-studio-with-kitchenette/c32d39,N/A,N/A,N/A
Fishtown Gem | 2 Bedroom | 2 Bath,N/A,"{'latitude': 39.98088455200195, 'longitude': -75.13439178466797}",N/A,https://book.bespokestay.com/listings/153441?googleVR=1,N/A,47,N/A
Uptown Gem! A Family Home w/2Luxe King Suites!,N/A,"{'latitude': 40.056427001953125, 'longitude': -75.14556884765625}",N/A,https://102681_1.holidayfuture.com/listings/264372?googleVR=1,N/A,48,N/A
Light and Airy Townhome with roofdeck and yard,N/A,"{'latitude': 39.98228073120117, 'longitude': -75.13037109375}",N/A,N/A,N/A,N/A,N/A
"KING Suite Luxurious, modern couple retreat",N/A,"{'latitude': 39.98583984375, 'longitude': -75.12496948242188}",N/A,N/A,N/A,8,N/A
Newly renovated one bedroom with rooftop balcony!,N/A,"{'latitude': 39.998077392578125, 'longitude': -75.15103912353516}",N/A,N/A,N/A,N/A,N/A
"Charming, Fully Furnished Home Near Stadiums!",N/A,"{'latitude': 40.005123138427734, 'longitude': -75.09780883789062}",N/A,N/A,N/A,N/A,N/A
Philly Studio w/ Indoor Hot Tub: 7 Mi to Dtwn,N/A,"{'latitude': 40.018489837646484, 'longitude': -75.109130859375}",N/A,https://www.us.despegar.com/hotels/h-6118652,N/A,N/A,N/A
Skydeck Suite by KreitzBooking,N/A,"{'latitude': 40.01578903198242, 'longitude': -75.13594055175781}",N/A,https://www.bluepillow.com/search?p_id=589dfe1e7c00cb10c8dad7b2&dest=bkng&cat=House&accomodationids=654caf143011da1e8b781829,N/A,N/A,N/A
Philadelphia Vacation Rental ~ 4 Mi to Center City,N/A,"{'latitude': 39.9812126159668, 'longitude': -75.11170959472656}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3731856&lc=google,N/A,10,N/A
Artsy Hidden Gem II,N/A,"{'latitude': 39.982948303222656, 'longitude': -75.1283187866211}",N/A,N/A,N/A,N/A,N/A
"Stylish Apartment, Centrally Located with Kitchen",N/A,"{'latitude': 39.98122787475586, 'longitude': -75.14242553710938}",N/A,https://google.bookeddirectly.com/g/philadelphia/stylish-apartment%252C-centrally-located-with-kitchen/7592b7,N/A,N/A,N/A
