Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Rare Tiny House: The perfect writer's retreat in Bucks County, PA",N/A,"{'latitude': 40.48858642578125, 'longitude': -75.07057189941406}",N/A,N/A,N/A,3,N/A
"Luxury Cabin Rental Hidden in the Woods near New Hope, Pennsylvania",N/A,"{'latitude': 40.46282958984375, 'longitude': -75.0737533569336}",N/A,https://glampinghub.com/unitedstatesofamerica/midatlantic/pennsylvania/pipersville/luxury-cabin-rental-hidden-woods-new-hope-pennsylvania/,N/A,1,N/A
Stunning 1850s Stone Farmhouse Retreat in Bucks County,N/A,"{'latitude': 40.48890686035156, 'longitude': -75.138427734375}",N/A,N/A,N/A,N/A,N/A
"Treetop hideaway, Relaxing, Small towns, Dining, Hiking, Biking, Water sports,",N/A,"{'latitude': 40.45988845825195, 'longitude': -75.07880401611328}",N/A,N/A,N/A,70,N/A
House in Bucks County,N/A,"{'latitude': 40.3975715637207, 'longitude': -75.20552825927734}",N/A,https://www.booking.com/hotel/us/house-in-bucks-county.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12118317_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12118317;utm_campaign=en,N/A,N/A,N/A
Log Cabin Farm & EventSpace 11Preserved Acres for your Serene Getaway,N/A,"{'latitude': 40.41114044189453, 'longitude': -75.10725402832031}",N/A,https://www.us.despegar.com/hotels/h-5106475,N/A,N/A,N/A
Log Cabin Farm 11 Preserved Acres for your EcoFriendly Serene Getaway,N/A,"{'latitude': 40.412200927734375, 'longitude': -75.1053237915039}",N/A,https://www.bluepillow.com/search?p_id=589dfe417c00cb10c8dad9ce&dest=bpex&cat=House&accomodationids=65cb82853e6d928972f79885,N/A,N/A,N/A
"\""Be Our Guest\"" at Carriage House 6098!",N/A,"{'latitude': 40.35844802856445, 'longitude': -75.02879333496094}",N/A,N/A,N/A,3,N/A
River Retreat with private apartment and deck on the beautiful Delaware River,N/A,"{'latitude': 40.41606521606445, 'longitude': -75.04975128173828}",N/A,N/A,N/A,87,N/A
Charming Historic Farmhouse Minutes to Frenchtown!,N/A,"{'latitude': 40.50400161743164, 'longitude': -75.10550689697266}",N/A,N/A,N/A,32,N/A
Historic Stone Farmhouse w/ Pool and Wood-Fired Hot Tub on 13-acre Property,N/A,"{'latitude': 40.49547576904297, 'longitude': -75.11890411376953}",N/A,https://www.us.despegar.com/hotels/h-4944116,N/A,N/A,N/A
Historic Erwinna Vacation Home Near Delaware River,N/A,"{'latitude': 40.50205993652344, 'longitude': -75.07405090332031}",N/A,N/A,N/A,N/A,N/A
Lumberville 1740 House,N/A,"{'latitude': 40.404998779296875, 'longitude': -75.0353012084961}",N/A,N/A,N/A,82,N/A
SCENIC ONE BEDROOM ROOM W/ PRIVATE ENTRANCE/ BATH & Seasonal POOL!,N/A,"{'latitude': 40.39176559448242, 'longitude': -75.06795501708984}",N/A,https://www.vrbo.com/4803849ha?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,87,N/A
RockingHorseAcres* 5 star accommodations,N/A,"{'latitude': 40.41180419921875, 'longitude': -75.1075668334961}",N/A,https://freebirdvacations.hospitable.rentals/property/rockinghorseacres,N/A,65,N/A
New Hope area Historical Bucks County Stone House circa 1732,N/A,"{'latitude': 40.396053314208984, 'longitude': -75.05199432373047}",N/A,N/A,N/A,145,N/A
SCENIC ONE BEDROOM ROOM W/ PRIVATE ENTRANCE/ BATH  Seasonal POOL!,N/A,"{'latitude': 40.391761779785156, 'longitude': -75.06794738769531}",N/A,https://www.bluepillow.com/search?p_id=5b912cd67c00cb3428d8b8a2&dest=bpex&cat=Apartment&accomodationids=62336a154c4d8d9b9b739bb6,N/A,N/A,N/A
House in Bucks County - Five-Bedroom House,N/A,"{'latitude': 40.3975715637207, 'longitude': -75.20552062988281}",N/A,N/A,N/A,N/A,N/A
