Name,Coordinates,Latitude,Longitude,Link,Ratings,Reviews,Address,postal_code
"""Riverbend Gem"" - Studio|Courtyard|TPA Heights","{'latitude': 28.001779556274414, 'longitude': -82.46595001220703}",28.00177955627441,-82.46595001220703,https://www.staytealdoor.com/properties/6621a308c6b93b00326b876f,3.3,3,"6002, North Dexter Avenue, Kenilworth Grove, Tampa, Hillsborough County, Florida, 33604, United States",33604
Creek Cabin - Two-Bedroom House,"{'latitude': 28.21503257751465, 'longitude': -82.69864654541016}",28.21503257751465,-82.69864654541016,https://www.google.com/travel/search?q=7008%2C%20Creek%20Drive%2C%20Pasco%20County%2C%20Florida%2C%2034655%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxABGBgSBwjpDxABGBoYAjICEAA4ASoHCgU6A1VTRA&ved=0CAMQyvcEahkKEwjgmsrmrfuJAxUAAAAAHQAAAAAQjsIB&ictx=3&hl=en-US&ap=KigKEgkHn0LMssg7QBH-HiHeRrJUwBISCT5tjKyFyTtAEf4eoZwmslTAMAA&qs=CAAgACgAMidDaGtRdl92MjAtSFl2LTlXR2cwdlp5OHhNWGM0TURSaWNXTnVFQUk4DUgA,3.6,7,"7008, Creek Drive, Pasco County, Florida, 34655, United States",34655
TownePlace Suites by Marriott Tampa North/I-75 Fletcher,"{'latitude': 28.067001342773438, 'longitude': -82.37169647216797}",28.06700134277344,-82.37169647216797,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D1086202%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,3.6,189,"6814, Woodstork Drive, Temple Terrace, Hillsborough County, Florida, 33637, United States",33637
BayCation,"{'latitude': 28.048564910888672, 'longitude': -82.4011001586914}",28.048564910888672,-82.4011001586914,https://www.vacasa.com/unit/118653,3.8,4,"5025, East 110th Avenue, Tampa, Hillsborough County, Florida, 33617, United States",33617
Sunny Studio,"{'latitude': 27.776987075805664, 'longitude': -82.69062042236328}",27.776987075805664,-82.69062042236328,https://cohostalbookings.hospitable.rentals/property/sunny-studio,3.8,8,"4216, 5th Avenue North, Central Oak Park, Saint Petersburg, Pinellas County, Florida, 33713, United States",33713
Tropical Vibe,"{'latitude': 28.02916145324707, 'longitude': -82.7431869506836}",28.02916145324707,-82.7431869506836,https://www.vacasa.com/unit/107891,3.8,11,"2299, Colonial Drive, Pinellas County, Florida, 34698, United States",34698
300 ftÂ² Private room âˆ™ 1 bedroom âˆ™ 2 guests,"{'latitude': 28.266399383544922, 'longitude': -82.72515106201172}",28.26639938354492,-82.72515106201172,https://www.google.com/travel/search?q=5400%2C%20Bellview%20Avenue%2C%20New%20Port%20Richey%2C%20Pasco%20County%2C%20Florida%2C%2034652%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxACGBESBwjpDxACGBYYBTICEAA4ASoHCgU6A1VTRA&ved=0CDcQyvcEahgKEwjgmsrmrfuJAxUAAAAAHQAAAAAQ2XA&ictx=3&hl=en-US&ap=KigKEglYDJQt1S7rvxEflEH_Pk9awBISCUkcAZ8cRElAET8og_69KU7AMAA&qs=CAAgACgAMihDaG9RanBiMHpaS2NzTHVfQVJvTkwyY3ZNVEYyTURrNU5UUjRiUkFDOA1IAA,4.0,1,"5400, Bellview Avenue, New Port Richey, Pasco County, Florida, 34652, United States",34652
448 Little Harbor,"{'latitude': 27.725954055786133, 'longitude': -82.47382354736328}",27.725954055786133,-82.47382354736328,https://www.google.com/travel/search?q=448%2C%20Bahia%20Beach%20Boulevard%2C%20Hillsborough%20County%2C%20Florida%2C%2033570%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxABGAgSBwjpDxABGA8YBzICEAA4ASoHCgU6A1VTRA&ved=0CIYDEMr3BGoYChMI4JrK5q37iQMVAAAAAB0AAAAAELR7&ictx=3&hl=en-US&ap=KigKEglYDJQt1S7rvxEflEH_Pk9awBISCUkcAZ8cRElAET8og_69KU7AMAA&qs=CAAgACgAMihDaG9Ra2QycHVhNi16NTd6QVJvTkwyY3ZNVEY1Tlhwa2FqTXhlaEFDOA1IAA,4.0,20,"448, Bahia Beach Boulevard, Hillsborough County, Florida, 33570, United States",33570
Land's End 203 building 1 Cute Coastal and Comfortable,"{'latitude': 27.7414608001709, 'longitude': -82.75621795654297}",27.7414608001709,-82.75621795654297,https://www.google.com/travel/search?q=7553%2C%20Bayshore%20Drive%2C%20Sunset%20Beach%2C%20Treasure%20Island%2C%20Pinellas%20County%2C%20Florida%2C%2033706%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxABGAgSBwjpDxABGA8YBzICEAA4ASoHCgU6A1VTRA&ved=0CLoBEMr3BGoZChMI4JrK5q37iQMVAAAAAB0AAAAAENX7AQ&ictx=3&hl=en-US&ap=KigKEgkHn0LMssg7QBH-HiHeRrJUwBISCT5tjKyFyTtAEf4eoZwmslTAMAE&qs=CAASBENDUT0gACgAMihDaG9Ra1o3V2c1UGdfTE9IQVJvTkwyY3ZNVEYzTkRKMGRtY3hhaEFDOA1IAA,4.0,48,"7553, Bayshore Drive, Sunset Beach, Treasure Island, Pinellas County, Florida, 33706, United States",33706
"Villa KailÄsa - Pool, 6min drive to the Beach","{'latitude': 27.823320388793945, 'longitude': -82.77864074707031}",27.823320388793945,-82.77864074707031,https://www.google.com/travel/search?q=5636%2C%20100th%20Way%20North%2C%20Seminole%2C%20Pinellas%20County%2C%20Florida%2C%2033708%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxABGBASBwjpDxABGBUYBTICEAA4ASoHCgU6A1VTRA&ved=0CAMQyvcEahkKEwjgmsrmrfuJAxUAAAAAHQAAAAAQteAC&ictx=3&hl=en-US&ap=MAA&qs=CAAgACgAMihDaG9RM3JLeDZMNncxN0hYQVJvTkwyY3ZNVEYyY2pBNU5UWnJhaEFDOA1IAA,4.0,7,"5636, 100th Way North, Seminole, Pinellas County, Florida, 33708, United States",33708
1Q bed Studio apt with shared Pool 17,"{'latitude': 27.943044662475586, 'longitude': -82.79981231689453}",27.943044662475582,-82.79981231689453,https://booking.stayhomes.net/vacation-rental-property-v2/114517/1-q-studio-apt-with-shared-pool-%2317,4.1,9,"1485, South Ft Harrison Avenue, Clearwater, Pinellas County, Florida, 33756, United States",33756
"Bright Getaway with Ski Lake, 11 Miles to Dtwn Tampa","{'latitude': 27.971969604492188, 'longitude': -82.30107116699219}",27.971969604492188,-82.30107116699219,https://www.google.com/travel/search?q=1232%2C%20Vinetree%20Drive%2C%20Brandon%2C%20Hillsborough%20County%2C%20Florida%2C%2033510%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxABGAsSBwjpDxABGBIYBzICEAA4ASoHCgU6A1VTRA&ved=0CBwQyvcEahkKEwjgmsrmrfuJAxUAAAAAHQAAAAAQtpwB&ictx=3&hl=en-US&ap=KigKEgkHn0LMssg7QBH-HiHeRrJUwBISCT5tjKyFyTtAEf4eoZwmslTAMAA&qs=CAAgACgAMidDaGtRc0xPNHNaZUpxNUlqR2cwdlp5OHhNWGsxZW1OdWFEUm9FQUk4DUgA,4.1,1,"1232, Vinetree Drive, Brandon, Hillsborough County, Florida, 33510, United States",33510
Charming Tiny Home with Private Hot Tub!,"{'latitude': 27.970739364624023, 'longitude': -82.12567901611328}",27.970739364624023,-82.12567901611328,https://www.google.com/travel/search?q=3000%2C%20Daniels%20Road%2C%20Hillsborough%20County%2C%20Florida%2C%2033566%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxACGAMSBwjpDxACGAgYBTICEAA4ASoHCgU6A1VTRA&ved=0CAMQyvcEahkKEwjgmsrmrfuJAxUAAAAAHQAAAAAQh6gB&ictx=3&hl=en-US&ap=KigKEgkHn0LMssg7QBH-HiHeRrJUwBISCT5tjKyFyTtAEf4eoZwmslTAMAA&qs=CAAgACgAMihDaG9RdHVHRng3ajBxX2V0QVJvTkwyY3ZNVEZ6YzJka2Rtd3dNeEFDOA1IAA,4.1,16,"3000, Daniels Road, Hillsborough County, Florida, 33566, United States",33566
Cozy and comfortable tiny house,"{'latitude': 28.01473045349121, 'longitude': -82.10944366455078}",28.01473045349121,-82.10944366455078,https://www.google.com/travel/search?q=1507%2C%20East%20Dr%20Martin%20Luther%20King%20Jr%20Boulevard%2C%20Alabama%2C%20Plant%20City%2C%20Hillsborough%20County%2C%20Florida%2C%2033563%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxACGBcSBwjpDxACGBsYBDICEAA4ASoHCgU6A1VTRA&ved=0CAMQyvcEahkKEwjgmsrmrfuJAxUAAAAAHQAAAAAQ8bcB&ictx=3&hl=en-US&ap=KigKEgkHn0LMssg7QBH-HiHeRrJUwBISCT5tjKyFyTtAEf4eoZwmslTAMAA&qs=CAAgACgAMidDaGtReWRfemt1T1ByNzhKR2cwdlp5OHhNWFo1WDJSMmJIaDBFQUk4DUgA,4.2,7,"1507, East Dr Martin Luther King Jr Boulevard, Alabama, Plant City, Hillsborough County, Florida, 33563, United States",33563
Sunny Hudson Escape with Gulf Views and Boat Dock,"{'latitude': 28.349456787109375, 'longitude': -82.70176696777344}",28.34945678710937,-82.70176696777344,https://www.google.com/travel/search?q=6813%2C%20Saltwater%20Boulevard%2C%20Pleasure%20Isles%2C%20Hudson%2C%20Pasco%20County%2C%20Florida%2C%2034667%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxACGBESBwjpDxACGBUYBDICEAA4ASoHCgU6A1VTRA&ved=0CGAQyvcEahkKEwjgmsrmrfuJAxUAAAAAHQAAAAAQlb8C&ictx=3&hl=en-US&ap=MAE&qs=CAASBENCST0gACgAMidDaGtRaG9IWWt1VFltYUUyR2cwdlp5OHhNWFI0Y1d4NmJYbzRFQUk4DUgA,4.2,56,"6813, Saltwater Boulevard, Pleasure Isles, Hudson, Pasco County, Florida, 34667, United States",34667
"""Close Swann"" - 2BR|Grill|Garden|Hyde Park|TGH","{'latitude': 27.937870025634766, 'longitude': -82.4922866821289}",27.93787002563477,-82.4922866821289,https://www.staytealdoor.com/properties/61704de5363e4700310edf0c,4.3,43,"635, Swann Drive, Palma Ceia Pines, Arrawana Park, Tampa, Hillsborough County, Florida, 33609, United States",33609
Best Holiday Beach Connection!,"{'latitude': 28.209381103515625, 'longitude': -82.72998046875}",28.209381103515625,-82.72998046875,https://www.google.com/travel/search?q=5137%2C%20Polar%20Drive%2C%20Colonial%20Manor%2C%20Elfers%2C%20Pasco%20County%2C%20Florida%2C%2034690%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjoDxAMGAkSBwjoDxAMGAwYAzICEAA4ASoHCgU6A1VTRA&ved=0CLIBEMr3BGoZChMI4JrK5q37iQMVAAAAAB0AAAAAEOWUAQ&ictx=3&hl=en-US&ap=KigKEgkHn0LMssg7QBH-HiHeRrJUwBISCT5tjKyFyTtAEf4eoZwmslTAMAA&qs=CAAgACgAMidDaGtRMmRQWGdZaXdocDFMR2cwdlp5OHhNV3hrZG1KNU1tcHlFQUk4DUgA,4.3,5,"5137, Polar Drive, Colonial Manor, Elfers, Pasco County, Florida, 34690, United States",34690
Contemporary Brandon Home w/ Pool & Game Room,"{'latitude': 27.895580291748047, 'longitude': -82.28611755371094}",27.895580291748047,-82.28611755371094,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3092910&lc=google,4.3,146,"102, El Greco Drive, Amaya Estates, Brandon, Hillsborough County, Florida, 33511, United States",33511
1br 1b Beach View - King - Surf Song #333,"{'latitude': 27.785425186157227, 'longitude': -82.78462982177734}",27.785425186157227,-82.78462982177734,,4.4,156,"Surf Song Resort Condominiums, 130th Avenue, Mitchell Beach, Madeira Beach, Pinellas County, Florida, 33708, United States",33708
1K bed Studio apt with Shared Pool 512,"{'latitude': 27.943288803100586, 'longitude': -82.79940795898438}",27.943288803100582,-82.79940795898438,https://booking.stayhomes.net/vacation-rental-property-v2/94250/homa-boutique-apt-w--community-pool,4.4,20,"523, Wildwood Way, Clearwater, Pinellas County, Florida, 33756, United States",33756
3274 Little Harbor,"{'latitude': 27.72480583190918, 'longitude': -82.47490692138672}",27.72480583190918,-82.47490692138672,https://www.google.com/travel/search?q=3256%2C%20Mangrove%20Point%20Drive%2C%20Hillsborough%20County%2C%20Florida%2C%2033570%2C%20United%20States&ts=CAISCgoCCAMKAggDEAAaHhIcEhQKBwjpDxABGAkSBwjpDxABGAwYAzICEAA4ASoHCgU6A1VTRA&ved=0CIEBEMr3BGoYChMI4JrK5q37iQMVAAAAAB0AAAAAEMFx&ictx=3&hl=en-US&ap=KigKEglYDJQt1S7rvxEflEH_Pk9awBISCUkcAZ8cRElAET8og_69KU7AMAA&qs=CAAgACgAMidDaGtRNVoyQzhZSFA4SXc0R2cwdlp5OHhNWFo1Y3pGdFpESjJFQUk4DUgA,4.4,42,"3256, Mangrove Point Drive, Hillsborough County, Florida, 33570, United States",33570
