Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Lotus Inn and Suites Nashville,Unassuming rooms with balconies or patios in a straightforward motel offering free Wi-Fi & parking.,"{'latitude': 36.1537317, 'longitude': -86.6279674}",36.1537317,-86.6279674,2,https://rapidhotels.com/LotusInnandSuites,"[{'stars': 5, 'count': 83}, {'stars': 4, 'count': 43}, {'stars': 3, 'count': 57}, {'stars': 2, 'count': 57}, {'stars': 1, 'count': 270}]",510,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 156, 'positive': 21, 'negative': 130, 'neutral': 5}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 84, 'positive': 3, 'negative': 77, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 100, 'positive': 10, 'negative': 83, 'neutral': 7}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 155, 'positive': 26, 'negative': 119, 'neutral': 10}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 12, 'positive': 1, 'negative': 11, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 73, 'positive': 12, 'negative': 58, 'neutral': 3}]","Lotus Inn, Percy Priest Drive, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37214, United States"
Red Roof Inn Murfreesboro,"Relaxed budget hotel featuring warm rooms, plus a seasonal outdoor pool & Wi-Fi.","{'latitude': 35.849781799999995, 'longitude': -86.4344795}",35.849781799999995,-86.4344795,2,https://www.redroof.com/property/tn/murfreesboro/RRI535?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI535,"[{'stars': 5, 'count': 304}, {'stars': 4, 'count': 205}, {'stars': 3, 'count': 93}, {'stars': 2, 'count': 41}, {'stars': 1, 'count': 61}]",704,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 106, 'positive': 82, 'negative': 19, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 79, 'positive': 37, 'negative': 32, 'neutral': 10}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 50, 'positive': 25, 'negative': 19, 'neutral': 6}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 28, 'positive': 4, 'negative': 20, 'neutral': 4}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 5, 'positive': 3, 'negative': 1, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 201, 'positive': 163, 'negative': 27, 'neutral': 11}]","Red Roof Inn, 2282, Armory Drive, Murfreesboro, Rutherford County, Middle Tennessee, Tennessee, 37129, United States"
Hermitage Inn,,"{'latitude': 36.2011877, 'longitude': -86.61837949999999}",36.2011877,-86.61837949999999,2,https://www.hermitageinntennessee.com/,"[{'stars': 5, 'count': 87}, {'stars': 4, 'count': 52}, {'stars': 3, 'count': 75}, {'stars': 2, 'count': 47}, {'stars': 1, 'count': 126}]",387,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 72, 'positive': 24, 'negative': 42, 'neutral': 6}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 25, 'positive': 4, 'negative': 20, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 47, 'positive': 7, 'negative': 36, 'neutral': 4}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 30, 'positive': 4, 'negative': 25, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 55, 'positive': 28, 'negative': 26, 'neutral': 1}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 83, 'positive': 28, 'negative': 47, 'neutral': 8}]","LEBANON PIKE & TYLER DR S, Lebanon Pike, Hermitage, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37138, United States"
Fairfield Inn & Suites Nashville Hendersonville,"Casual hotel offering an indoor pool & a gym, plus complimentary breakfast, parking & Wi-Fi.","{'latitude': 36.330449099999996, 'longitude': -86.5968132}",36.3304491,-86.5968132,2,https://www.marriott.com/en-us/hotels/bnafv-fairfield-inn-and-suites-nashville-hendersonville/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 254}, {'stars': 4, 'count': 79}, {'stars': 3, 'count': 21}, {'stars': 2, 'count': 23}, {'stars': 1, 'count': 43}]",420,"[{'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 16, 'positive': 5, 'negative': 7, 'neutral': 4}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 27, 'positive': 11, 'negative': 14, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 62, 'positive': 42, 'negative': 14, 'neutral': 6}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 13, 'positive': 2, 'negative': 11, 'neutral': 0}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 14, 'positive': 7, 'negative': 5, 'neutral': 2}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 33, 'positive': 22, 'negative': 8, 'neutral': 3}]","Fairfield Inn & Suites, 303, Indian Lake Boulevard, Hendersonville, Sumner County, Middle Tennessee, Tennessee, 37075, United States"
Red Roof Inn Nashville - Music City,"Unpretentious budget hotel offering straightforward rooms, plus a gym & an outdoor pool.","{'latitude': 36.210293799999995, 'longitude': -86.7772425}",36.2102938,-86.7772425,2,https://www.redroof.com/property/tn/nashville/RRI777?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI777,"[{'stars': 5, 'count': 295}, {'stars': 4, 'count': 246}, {'stars': 3, 'count': 204}, {'stars': 2, 'count': 147}, {'stars': 1, 'count': 210}]",1102,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 66, 'positive': 31, 'negative': 26, 'neutral': 9}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 293, 'positive': 115, 'negative': 161, 'neutral': 17}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 100, 'positive': 36, 'negative': 50, 'neutral': 14}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 138, 'positive': 12, 'negative': 121, 'neutral': 5}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 256, 'positive': 133, 'negative': 103, 'neutral': 20}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 360, 'positive': 145, 'negative': 183, 'neutral': 32}]","Red Roof Inn Nashville - Music City, I 24;I 65, Avondale, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37207, United States"
Holiday Inn Express Brentwood South - Franklin,"Contemporary lodging with a fitness center & outdoor pool, plus free hot breakfast & WiFi.","{'latitude': 35.961619, 'longitude': -86.80753229999999}",35.961619,-86.80753229999999,2,https://www.ihg.com/holidayinnexpress/hotels/us/en/brentwood/bnana/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-BNANA,"[{'stars': 5, 'count': 261}, {'stars': 4, 'count': 165}, {'stars': 3, 'count': 72}, {'stars': 2, 'count': 39}, {'stars': 1, 'count': 70}]",607,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 184, 'positive': 112, 'negative': 63, 'neutral': 9}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 71, 'positive': 12, 'negative': 56, 'neutral': 3}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 94, 'positive': 33, 'negative': 51, 'neutral': 10}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 104, 'positive': 77, 'negative': 20, 'neutral': 7}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 179, 'positive': 118, 'negative': 48, 'neutral': 13}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 206, 'positive': 121, 'negative': 71, 'neutral': 14}]","Holiday Inn Express, I 65, Brentwood Pointe, Brentwood, Williamson County, Middle Tennessee, Tennessee, 37067, United States"
Aloft Nashville West End,"Trendy rooms & suites with free WiFi, plus a lively bar, a patio & an exercise room.","{'latitude': 36.1530126, 'longitude': -86.7956361}",36.1530126,-86.7956361,3,https://www.marriott.com/en-us/hotels/bnawl-aloft-nashville-west-end/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 564}, {'stars': 4, 'count': 325}, {'stars': 3, 'count': 127}, {'stars': 2, 'count': 72}, {'stars': 1, 'count': 116}]",1204,"[{'name': 'Parking', 'description': 'Parking', 'total_mentioned': 170, 'positive': 62, 'negative': 83, 'neutral': 25}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 404, 'positive': 284, 'negative': 102, 'neutral': 18}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 46, 'positive': 34, 'negative': 8, 'neutral': 4}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 155, 'positive': 30, 'negative': 111, 'neutral': 14}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 447, 'positive': 302, 'negative': 101, 'neutral': 44}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 230, 'positive': 126, 'negative': 93, 'neutral': 11}]","WXYZ, 1719, West End Avenue, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37203, United States"
Courtyard Nashville Vanderbilt/West End,"Straightforward hotel offering contemporary rooms & a seasonal pool, plus free local shuttle & WiFi.","{'latitude': 36.151806199999996, 'longitude': -86.79763489999999}",36.1518062,-86.79763489999999,3,https://www.marriott.com/en-us/hotels/bnawe-courtyard-nashville-vanderbilt-west-end/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 486}, {'stars': 4, 'count': 294}, {'stars': 3, 'count': 156}, {'stars': 2, 'count': 87}, {'stars': 1, 'count': 116}]",1139,"[{'name': 'Parking', 'description': 'Parking', 'total_mentioned': 204, 'positive': 45, 'negative': 130, 'neutral': 29}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 364, 'positive': 229, 'negative': 115, 'neutral': 20}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 192, 'positive': 149, 'negative': 27, 'neutral': 16}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 59, 'positive': 33, 'negative': 19, 'neutral': 7}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 200, 'positive': 138, 'negative': 50, 'neutral': 12}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 364, 'positive': 235, 'negative': 90, 'neutral': 39}]","Courtyard Nashville Vanderbilt/West End, 1901, West End Avenue, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37203, United States"
Margaritaville Hotel Nashville,"Trendy, beach-inspired hotel featuring dining, plus a rooftop pool, a poolside bar & city views.","{'latitude': 36.1556505, 'longitude': -86.7754733}",36.1556505,-86.7754733,3,https://www.margaritavilleresorts.com/margaritaville-hotel-nashville?utm_source=local&utm_medium=organic&utm_campaign=website_link,"[{'stars': 5, 'count': 822}, {'stars': 4, 'count': 148}, {'stars': 3, 'count': 54}, {'stars': 2, 'count': 34}, {'stars': 1, 'count': 42}]",1100,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 133, 'positive': 93, 'negative': 24, 'neutral': 16}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 132, 'positive': 91, 'negative': 25, 'neutral': 16}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 154, 'positive': 105, 'negative': 35, 'neutral': 14}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 314, 'positive': 249, 'negative': 47, 'neutral': 18}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 72, 'positive': 57, 'negative': 8, 'neutral': 7}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 103, 'positive': 69, 'negative': 22, 'neutral': 12}]","Margaritaville Hotel, Peabody Street, Downtown Nashville, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37210, United States"
Germantown Inn,Warm boutique hotel in a converted 19th-century home offering colorful suites & a courtyard.,"{'latitude': 36.1755614, 'longitude': -86.7895279}",36.1755614,-86.7895279,3,http://www.germantowninn.com/,"[{'stars': 5, 'count': 105}, {'stars': 4, 'count': 5}, {'stars': 3, 'count': 4}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 2}]",116,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 21, 'positive': 19, 'negative': 0, 'neutral': 2}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 37, 'positive': 36, 'negative': 0, 'neutral': 1}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 15, 'positive': 14, 'negative': 0, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 49, 'positive': 49, 'negative': 0, 'neutral': 0}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 22, 'positive': 20, 'negative': 2, 'neutral': 0}]","Saint Mark Missionary Baptist Church, 6th Avenue North, Germantown Nashville, TN, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37208, United States"
