Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
TownePlace Suites Nashville Smyrna,Modern quarters in a relaxed all-suite hotel offering a n outdoor pool & a gym. plus free breakfast.,"{'latitude': 35.9753231, 'longitude': -86.57728039999999}",3,https://www.marriott.com/en-us/hotels/bnans-towneplace-suites-nashville-smyrna/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 287}, {'stars': 4, 'count': 85}, {'stars': 3, 'count': 22}, {'stars': 2, 'count': 6}, {'stars': 1, 'count': 9}]",409,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 63, 'positive': 46, 'negative': 11, 'neutral': 6}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 11, 'positive': 4, 'negative': 4, 'neutral': 3}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 32, 'positive': 25, 'negative': 5, 'neutral': 2}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 31, 'positive': 26, 'negative': 4, 'neutral': 1}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 26, 'positive': 6, 'negative': 14, 'neutral': 6}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 40, 'positive': 32, 'negative': 2, 'neutral': 6}]"
TownePlace Suites Nashville Airport,"Informal all-suite hotel with free breakfast & parking, plus an indoor pool & a gym.","{'latitude': 36.1506076, 'longitude': -86.66928930000002}",3,https://www.marriott.com/en-us/hotels/bnats-towneplace-suites-nashville-airport/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 349}, {'stars': 4, 'count': 153}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 32}, {'stars': 1, 'count': 46}]",640,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 217, 'positive': 169, 'negative': 36, 'neutral': 12}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 77, 'positive': 54, 'negative': 12, 'neutral': 11}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 37, 'positive': 26, 'negative': 9, 'neutral': 2}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 13, 'positive': 7, 'negative': 4, 'neutral': 2}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 134, 'positive': 105, 'negative': 25, 'neutral': 4}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 41, 'positive': 17, 'negative': 15, 'neutral': 9}]"
Lotus Inn and Suites Nashville,Unassuming rooms with balconies or patios in a straightforward motel offering free Wi-Fi & parking.,"{'latitude': 36.1537317, 'longitude': -86.6279674}",2,https://rapidhotels.com/LotusInnandSuites,"[{'stars': 5, 'count': 83}, {'stars': 4, 'count': 43}, {'stars': 3, 'count': 57}, {'stars': 2, 'count': 57}, {'stars': 1, 'count': 270}]",510,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 156, 'positive': 21, 'negative': 130, 'neutral': 5}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 84, 'positive': 3, 'negative': 77, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 100, 'positive': 10, 'negative': 83, 'neutral': 7}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 155, 'positive': 26, 'negative': 119, 'neutral': 10}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 12, 'positive': 1, 'negative': 11, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 73, 'positive': 12, 'negative': 58, 'neutral': 3}]"
Twin Oaks Guest Ranch,N/A,"{'latitude': 36.1147804, 'longitude': -86.3664321}",N/A,N/A,"[{'stars': 5, 'count': 39}, {'stars': 4, 'count': 1}, {'stars': 3, 'count': 0}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 0}]",40,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 15, 'positive': 15, 'negative': 0, 'neutral': 0}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 10, 'positive': 10, 'negative': 0, 'neutral': 0}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 10, 'positive': 8, 'negative': 0, 'neutral': 2}]"
Red Roof Inn Murfreesboro,"Relaxed budget hotel featuring warm rooms, plus a seasonal outdoor pool & Wi-Fi.","{'latitude': 35.849781799999995, 'longitude': -86.4344795}",2,https://www.redroof.com/property/tn/murfreesboro/RRI535?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI535,"[{'stars': 5, 'count': 304}, {'stars': 4, 'count': 205}, {'stars': 3, 'count': 93}, {'stars': 2, 'count': 41}, {'stars': 1, 'count': 61}]",704,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 106, 'positive': 82, 'negative': 19, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 79, 'positive': 37, 'negative': 32, 'neutral': 10}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 50, 'positive': 25, 'negative': 19, 'neutral': 6}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 28, 'positive': 4, 'negative': 20, 'neutral': 4}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 5, 'positive': 3, 'negative': 1, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 201, 'positive': 163, 'negative': 27, 'neutral': 11}]"
Embassy Suites by Hilton Nashville SE Murfreesboro,"Relaxed all-suite hotel with free breakfast, plus a restaurant, a spa & an indoor pool.","{'latitude': 35.8629032, 'longitude': -86.4485684}",3,https://www.hilton.com/en/hotels/mbteses-embassy-suites-nashville-se-murfreesboro/?SEO_id=GMB-AMER-ES-MBTESES&y_source=1_MTEwOTk5NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"[{'stars': 5, 'count': 2377}, {'stars': 4, 'count': 701}, {'stars': 3, 'count': 188}, {'stars': 2, 'count': 94}, {'stars': 1, 'count': 138}]",3498,"[{'name': 'Business', 'description': 'Business', 'total_mentioned': 316, 'positive': 201, 'negative': 41, 'neutral': 74}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 469, 'positive': 398, 'negative': 50, 'neutral': 21}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 208, 'positive': 159, 'negative': 37, 'neutral': 12}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 37, 'positive': 22, 'negative': 3, 'neutral': 12}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 194, 'positive': 147, 'negative': 35, 'neutral': 12}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 17, 'positive': 12, 'negative': 3, 'neutral': 2}]"
Residence Inn Nashville SE/Murfreesboro,"Polished all-suite hotel offering free breakfast & parking, plus an outdoor pool & a 24/7 gym.","{'latitude': 35.8649717, 'longitude': -86.4519766}",3,https://www.marriott.com/en-us/hotels/bnamu-residence-inn-nashville-se-murfreesboro/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 405}, {'stars': 4, 'count': 128}, {'stars': 3, 'count': 35}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 17}]",600,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 74, 'positive': 63, 'negative': 9, 'neutral': 2}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 41, 'positive': 34, 'negative': 4, 'neutral': 3}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 27, 'positive': 24, 'negative': 2, 'neutral': 1}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 43, 'positive': 39, 'negative': 4, 'neutral': 0}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 17, 'positive': 12, 'negative': 5, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 172, 'positive': 145, 'negative': 18, 'neutral': 9}]"
Radisson Hotel Nashville Airport,"Relaxed hotel with free parking & airport shuttle service, plus a restaurant, a pool & a gym.","{'latitude': 36.143974199999995, 'longitude': -86.66473529999999}",3,https://www.choicehotels.com/tennessee/nashville/radisson-hotels/tna30?mc=llgoxxpx,"[{'stars': 5, 'count': 782}, {'stars': 4, 'count': 456}, {'stars': 3, 'count': 175}, {'stars': 2, 'count': 61}, {'stars': 1, 'count': 98}]",1572,"[{'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 140, 'positive': 97, 'negative': 20, 'neutral': 23}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 425, 'positive': 333, 'negative': 68, 'neutral': 24}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 329, 'positive': 264, 'negative': 38, 'neutral': 27}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 424, 'positive': 324, 'negative': 66, 'neutral': 34}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 72, 'positive': 45, 'negative': 19, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 160, 'positive': 80, 'negative': 66, 'neutral': 14}]"
Elm Hill RV Resort,"Peninsula camping ground with hook-up for 131 RVs, an outdoor pool, sandy beach, playground & Wi-Fi.","{'latitude': 36.128263499999996, 'longitude': -86.6213112}",N/A,https://elmhillrvresort.com/,"[{'stars': 5, 'count': 486}, {'stars': 4, 'count': 82}, {'stars': 3, 'count': 36}, {'stars': 2, 'count': 14}, {'stars': 1, 'count': 34}]",652,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 148, 'positive': 135, 'negative': 7, 'neutral': 6}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 150, 'positive': 137, 'negative': 12, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 144, 'positive': 126, 'negative': 16, 'neutral': 2}]"
Nashville Shores Lakeside Resort,"Visitors play in the lagoon, slide down water flumes, ride on zip lines or rent boats on the lake.","{'latitude': 36.1584115, 'longitude': -86.6030188}",N/A,https://nashvilleshores.com/lodging/,"[{'stars': 5, 'count': 2898}, {'stars': 4, 'count': 1040}, {'stars': 3, 'count': 408}, {'stars': 2, 'count': 161}, {'stars': 1, 'count': 212}]",4719,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 171, 'positive': 123, 'negative': 28, 'neutral': 20}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 624, 'positive': 522, 'negative': 63, 'neutral': 39}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 385, 'positive': 211, 'negative': 117, 'neutral': 57}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 244, 'positive': 72, 'negative': 142, 'neutral': 30}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 131, 'positive': 40, 'negative': 76, 'neutral': 15}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 71, 'positive': 51, 'negative': 13, 'neutral': 7}]"
