Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
TownePlace Suites Nashville Airport,"Informal all-suite hotel with free breakfast & parking, plus an indoor pool & a gym.","{'latitude': 36.1506076, 'longitude': -86.66928930000002}",3,https://www.marriott.com/en-us/hotels/bnats-towneplace-suites-nashville-airport/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 349}, {'stars': 4, 'count': 153}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 32}, {'stars': 1, 'count': 46}]",640,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 217, 'positive': 169, 'negative': 36, 'neutral': 12}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 77, 'positive': 54, 'negative': 12, 'neutral': 11}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 37, 'positive': 26, 'negative': 9, 'neutral': 2}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 13, 'positive': 7, 'negative': 4, 'neutral': 2}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 134, 'positive': 105, 'negative': 25, 'neutral': 4}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 41, 'positive': 17, 'negative': 15, 'neutral': 9}]"
Lotus Inn and Suites Nashville,Unassuming rooms with balconies or patios in a straightforward motel offering free Wi-Fi & parking.,"{'latitude': 36.1537317, 'longitude': -86.6279674}",2,https://rapidhotels.com/LotusInnandSuites,"[{'stars': 5, 'count': 83}, {'stars': 4, 'count': 43}, {'stars': 3, 'count': 57}, {'stars': 2, 'count': 57}, {'stars': 1, 'count': 270}]",510,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 156, 'positive': 21, 'negative': 130, 'neutral': 5}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 84, 'positive': 3, 'negative': 77, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 100, 'positive': 10, 'negative': 83, 'neutral': 7}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 155, 'positive': 26, 'negative': 119, 'neutral': 10}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 12, 'positive': 1, 'negative': 11, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 73, 'positive': 12, 'negative': 58, 'neutral': 3}]"
Radisson Hotel Nashville Airport,"Relaxed hotel with free parking & airport shuttle service, plus a restaurant, a pool & a gym.","{'latitude': 36.143974199999995, 'longitude': -86.66473529999999}",3,https://www.choicehotels.com/tennessee/nashville/radisson-hotels/tna30?mc=llgoxxpx,"[{'stars': 5, 'count': 782}, {'stars': 4, 'count': 456}, {'stars': 3, 'count': 175}, {'stars': 2, 'count': 61}, {'stars': 1, 'count': 98}]",1572,"[{'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 140, 'positive': 97, 'negative': 20, 'neutral': 23}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 425, 'positive': 333, 'negative': 68, 'neutral': 24}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 329, 'positive': 264, 'negative': 38, 'neutral': 27}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 424, 'positive': 324, 'negative': 66, 'neutral': 34}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 72, 'positive': 45, 'negative': 19, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 160, 'positive': 80, 'negative': 66, 'neutral': 14}]"
Cambria Hotel Nashville Downtown,"Music-themed quarters in a relaxed hotel featuring a pool, a gym & a restaurant with live music.","{'latitude': 36.1577415, 'longitude': -86.7809753}",4,http://www.cambrianashville.com/,"[{'stars': 5, 'count': 1185}, {'stars': 4, 'count': 277}, {'stars': 3, 'count': 89}, {'stars': 2, 'count': 50}, {'stars': 1, 'count': 89}]",1690,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 166, 'positive': 141, 'negative': 9, 'neutral': 16}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 200, 'positive': 160, 'negative': 25, 'neutral': 15}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 190, 'positive': 102, 'negative': 66, 'neutral': 22}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 524, 'positive': 421, 'negative': 78, 'neutral': 25}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 406, 'positive': 350, 'negative': 13, 'neutral': 43}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 126, 'positive': 98, 'negative': 16, 'neutral': 12}]"
Margaritaville Hotel Nashville,"Trendy, beach-inspired hotel featuring dining, plus a rooftop pool, a poolside bar & city views.","{'latitude': 36.1556505, 'longitude': -86.7754733}",3,https://www.margaritavilleresorts.com/margaritaville-hotel-nashville?utm_source=local&utm_medium=organic&utm_campaign=website_link,"[{'stars': 5, 'count': 822}, {'stars': 4, 'count': 148}, {'stars': 3, 'count': 54}, {'stars': 2, 'count': 34}, {'stars': 1, 'count': 42}]",1100,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 133, 'positive': 93, 'negative': 24, 'neutral': 16}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 132, 'positive': 91, 'negative': 25, 'neutral': 16}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 154, 'positive': 105, 'negative': 35, 'neutral': 14}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 314, 'positive': 249, 'negative': 47, 'neutral': 18}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 72, 'positive': 57, 'negative': 8, 'neutral': 7}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 103, 'positive': 69, 'negative': 22, 'neutral': 12}]"
Bode Nashville,"Sleek, contemporary rooms & apartments in a hip hotel offering a cafe, a bar & a terrace.","{'latitude': 36.1571936, 'longitude': -86.77257490000001}",N/A,https://www.bode.co/downtown-nashville-hotel/utm_source=ghbp,"[{'stars': 5, 'count': 359}, {'stars': 4, 'count': 63}, {'stars': 3, 'count': 24}, {'stars': 2, 'count': 36}, {'stars': 1, 'count': 53}]",535,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 75, 'positive': 59, 'negative': 7, 'neutral': 9}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 187, 'positive': 156, 'negative': 12, 'neutral': 19}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 50, 'positive': 15, 'negative': 30, 'neutral': 5}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 230, 'positive': 163, 'negative': 44, 'neutral': 23}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 102, 'positive': 50, 'negative': 38, 'neutral': 14}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 154, 'positive': 94, 'negative': 47, 'neutral': 13}]"
Nashville Shores Lakeside Resort,"Visitors play in the lagoon, slide down water flumes, ride on zip lines or rent boats on the lake.","{'latitude': 36.1584115, 'longitude': -86.6030188}",N/A,https://nashvilleshores.com/lodging/,"[{'stars': 5, 'count': 2898}, {'stars': 4, 'count': 1040}, {'stars': 3, 'count': 408}, {'stars': 2, 'count': 161}, {'stars': 1, 'count': 212}]",4719,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 171, 'positive': 123, 'negative': 28, 'neutral': 20}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 624, 'positive': 522, 'negative': 63, 'neutral': 39}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 385, 'positive': 211, 'negative': 117, 'neutral': 57}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 244, 'positive': 72, 'negative': 142, 'neutral': 30}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 131, 'positive': 40, 'negative': 76, 'neutral': 15}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 71, 'positive': 51, 'negative': 13, 'neutral': 7}]"
Omni Nashville Hotel,"Downtown hotel offering rooms & suites with city views, plus dining, a rooftop outdoor pool & a spa.","{'latitude': 36.1572862, 'longitude': -86.7757168}",4,https://www.omnihotels.com/hotels/nashville?utm_source=gmblisting&utm_medium=organic,"[{'stars': 5, 'count': 4376}, {'stars': 4, 'count': 1069}, {'stars': 3, 'count': 251}, {'stars': 2, 'count': 146}, {'stars': 1, 'count': 236}]",6078,"[{'name': 'Business', 'description': 'Business', 'total_mentioned': 330, 'positive': 219, 'negative': 32, 'neutral': 79}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 1463, 'positive': 1208, 'negative': 198, 'neutral': 57}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 49, 'positive': 41, 'negative': 7, 'neutral': 1}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 47, 'positive': 41, 'negative': 6, 'neutral': 0}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 256, 'positive': 187, 'negative': 25, 'neutral': 44}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 894, 'positive': 803, 'negative': 31, 'neutral': 60}]"
Velocity La Qulnta,N/A,"{'latitude': 36.0841847, 'longitude': -86.7624972}",N/A,N/A,"[{'stars': 5, 'count': 3}, {'stars': 4, 'count': 3}, {'stars': 3, 'count': 5}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 11}]",22,"[{'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 6, 'positive': 0, 'negative': 6, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 8, 'positive': 2, 'negative': 6, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 7, 'positive': 1, 'negative': 6, 'neutral': 0}]"
Caroline House Nashville Historic Inn,"Warm quarters in a laid-back property catering to adults, plus a cozy TV lounge & BBQ grills.","{'latitude': 36.1279299, 'longitude': -86.7838318}",4,http://www.carolinehousenashville.com/,"[{'stars': 5, 'count': 278}, {'stars': 4, 'count': 2}, {'stars': 3, 'count': 2}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 0}]",282,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 27, 'positive': 26, 'negative': 1, 'neutral': 0}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 15, 'positive': 14, 'negative': 0, 'neutral': 1}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 63, 'positive': 62, 'negative': 1, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 132, 'positive': 132, 'negative': 0, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 160, 'positive': 158, 'negative': 1, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 79, 'positive': 75, 'negative': 1, 'neutral': 3}]"
