Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Fall Flash Fifteen*Spacious for Large Group| Game,N/A,"{'latitude': 36.05031967163086, 'longitude': -86.88683319091797}",4.8250003,https://gtravel.pmtsmartsync.com/site_clickthrough.php?hotelid=45669&language=en,N/A,12,N/A
Cozy Tennessee Country Retreat on 5 Acres!,N/A,"{'latitude': 36.11965560913086, 'longitude': -86.98522186279297}",4.977778,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3314253&lc=google,N/A,45,N/A
Midcentury Modern View Cabin Near Nashville,N/A,"{'latitude': 36.123958587646484, 'longitude': -86.99053955078125}",5,https://www.bluepillow.com/search?p_id=589dff507c00cb10c8dae8d0&dest=bpvr&cat=Cabin&accomodationids=64906c1cba24250813bf1af1,N/A,6,N/A
Fork Inn's Romantic 2BR apt cabin with hot tub optional,N/A,"{'latitude': 35.96799087524414, 'longitude': -87.01422119140625}",N/A,https://www.booking.com/hotel/us/fork-inns-romantic-2br-apt-cabin-with-hot-tub-optional.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11956424_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11956424;utm_campaign=en,N/A,N/A,N/A
Maxwell House,N/A,"{'latitude': 36.0954704284668, 'longitude': -86.87593078613281}",N/A,N/A,N/A,N/A,N/A
"Tranquility \""Treehouse\"" Retreat In West Nashville 15 Min. To downtown Nashville!",N/A,"{'latitude': 36.11919403076172, 'longitude': -86.94833374023438}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D13864905%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Cozy River Retreat W/ Private Beach Within 20 Minutes Of The City,N/A,"{'latitude': 36.01250076293945, 'longitude': -87.02410125732422}",N/A,https://www.super.com/travel/hotels/lYzgx2wj?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Bellevue Cottage,N/A,"{'latitude': 36.07246017456055, 'longitude': -86.9401626586914}",4.9,N/A,N/A,12,N/A
Venus's Dance,N/A,"{'latitude': 36.076576232910156, 'longitude': -86.86795043945312}",4.71,https://www.plumguide.com/homes/37132/venuss-dance,N/A,4,N/A
"Tranquility ""Treehouse"" Retreat In West Nashville 15 Min. To downtown Nashville!",N/A,"{'latitude': 36.11919021606445, 'longitude': -86.94833374023438}",4.8500004,N/A,N/A,48,N/A
Huge apartment with spectacular view of Cumberland river,N/A,"{'latitude': 36.133094787597656, 'longitude': -86.91365814208984}",N/A,https://www.us.despegar.com/hotels/h-5939967,N/A,N/A,N/A
"The Pink House in Nashville: Private, Wooded and Spacious… Relax and Restore!",N/A,"{'latitude': 36.05276107788086, 'longitude': -86.99456787109375}",5,https://www.bluepillow.com/search?p_id=589dff507c00cb10c8dae8d0&dest=bpvr&cat=Apartment&accomodationids=62174808a723979680681f73,N/A,35,N/A
"This condominium is a 2 bedroom(s), 3 bathrooms, located in Nashville, TN.",N/A,"{'latitude': 36.11152648925781, 'longitude': -86.91771697998047}",N/A,N/A,N/A,N/A,N/A
Hows Manor - Luxury Historic Farmhouse Circa 1840,N/A,"{'latitude': 36.09172058105469, 'longitude': -86.98424530029297}",4.8,N/A,N/A,54,N/A
"Rustic Treehouse Loft with Hot-Tub and BBQ Surrounded by Nature in Franklin, Tennessee",N/A,"{'latitude': 35.976226806640625, 'longitude': -87.01797485351562}",N/A,https://glampinghub.com/unitedstatesofamerica/south/tennessee/franklin/rustic-treehouse-loft-hot-tub-bbq-surrounded-nature-frankil-tennessee/,N/A,N/A,N/A
Renovated Ranch + Fenced Back Yard. Pet Friendly!,N/A,"{'latitude': 36.078365325927734, 'longitude': -86.9421157836914}",N/A,https://www.us.despegar.com/hotels/h-5999702,N/A,N/A,N/A
Supreme Luxury for Discerning Tastes,N/A,"{'latitude': 36.04558181762695, 'longitude': -86.91436767578125}",N/A,N/A,N/A,N/A,N/A
Spacious and Modern in West Nashville!,N/A,"{'latitude': 36.07325744628906, 'longitude': -86.93072509765625}",5,N/A,N/A,97,N/A
