Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
The 1865 #203,N/A,"{'latitude': 36.15936279296875, 'longitude': -86.80687713623047}",4.6696715,https://www.vacasa.com/unit/55039,N/A,122,N/A
Illume 223,N/A,"{'latitude': 36.14738845825195, 'longitude': -86.78152465820312}",4.508333,https://www.vacasa.com/unit/76340,N/A,60,N/A
Stay Awhile in Music City,N/A,"{'latitude': 36.15822982788086, 'longitude': -86.81478118896484}",4.8775,https://www.vacasa.com/unit/115578,N/A,20,N/A
Capitol Hill Retreat C,N/A,"{'latitude': 36.1602668762207, 'longitude': -86.80205535888672}",4.2642856,https://www.vacasa.com/unit/67378,N/A,28,N/A
Modern Nashville Condo: Walk to Local Breweries!,N/A,"{'latitude': 36.16033935546875, 'longitude': -86.8408203125}",4.927273,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3803258&lc=google,N/A,11,N/A
"Best Of Nashville - Award Winning, Top Floor Studio and Pool",N/A,"{'latitude': 36.126399993896484, 'longitude': -86.77857208251953}",4.721774,https://book.wisegetaways.com/listings/231902?googleVR=1,N/A,124,N/A
Home ~ 4 Mi to Downtown Nashville w/ Deck!,N/A,"{'latitude': 36.12009811401367, 'longitude': -86.7932357788086}",5,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3871978&lc=google,N/A,1,N/A
Capitol Hill Retreat B,N/A,"{'latitude': 36.1602897644043, 'longitude': -86.802001953125}",4.4444447,https://www.vacasa.com/unit/67385,N/A,18,N/A
Nashville Sound,N/A,"{'latitude': 36.15419006347656, 'longitude': -86.76393127441406}",4.703371,https://www.vacasa.com/unit/75850,N/A,89,N/A
"Stunning Spacious 6 Beds, 2 Bedrm in Walkable Area",N/A,"{'latitude': 36.193485260009766, 'longitude': -86.76280975341797}",4.9,https://stay.skysharemgmt.com/listings/174913?googleVR=1,N/A,103,N/A
5 min to DT!*the 90s* 2 bd! Parking! West End!,N/A,"{'latitude': 36.142539978027344, 'longitude': -86.82181549072266}",4.8,https://your-cation.com/property/retro-90s-2-bd-townhome-in-west-end-parking,N/A,322,N/A
Rollin' on the River,N/A,"{'latitude': 36.174293518066406, 'longitude': -86.78111267089844}",3.6102042,https://www.vacasa.com/unit/47861,N/A,147,N/A
Beach Inspired Retreat in the Heart of Nashville!,N/A,"{'latitude': 36.17823791503906, 'longitude': -86.80946350097656}",N/A,https://nashvillebeachhouse.lodgify.com/listing/en/671169,N/A,N/A,N/A
The 1865 #412,N/A,"{'latitude': 36.15974807739258, 'longitude': -86.80644989013672}",4.3125,https://www.vacasa.com/unit/54993,N/A,64,N/A
The Tinley Cottage,N/A,"{'latitude': 36.20121383666992, 'longitude': -86.76527404785156}",4.2735295,https://www.vacasa.com/unit/111187,N/A,17,N/A
Lofts At 30th - Modern Life - Mins To Broadway,N/A,"{'latitude': 36.141815185546875, 'longitude': -86.81310272216797}",N/A,N/A,N/A,N/A,N/A
Luxury 2 Bedroom Condo-Walk to Coffee +Restaurants,N/A,"{'latitude': 36.19328689575195, 'longitude': -86.76313018798828}",4.95,https://stay.skysharemgmt.com/listings/174905?googleVR=1,N/A,67,N/A
Park4Free & Walk to Honkytonks! Balcony,N/A,"{'latitude': 36.15499496459961, 'longitude': -86.77050018310547}",4.96,https://www.jetyvacations.com/bucks-southern-nights-walk-to-broadway-orp5b5db53x,N/A,103,N/A
